Date,Location,Percent with one dose,state,state_po,state_fips,STATEFP,STNAME,Total population,candidatevotes,totalvotes,party_simplified,fractionalvotes,day_num
2021-07-22,CO,0.7120000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,159
2021-07-21,CO,0.711,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,158
2021-07-20,CO,0.71,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,157
2021-07-19,CO,0.71,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,156
2021-07-18,CO,0.71,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,155
2021-07-17,CO,0.7090000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,154
2021-07-16,CO,0.708,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,153
2021-07-15,CO,0.7070000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,152
2021-07-14,CO,0.7070000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,151
2021-07-13,CO,0.706,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,150
2021-07-12,CO,0.705,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,149
2021-07-11,CO,0.705,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,148
2021-07-10,CO,0.7040000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,147
2021-07-09,CO,0.7020000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,146
2021-07-08,CO,0.7020000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,145
2021-07-07,CO,0.7020000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,144
2021-07-06,CO,0.701,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,143
2021-07-05,CO,0.701,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,142
2021-07-04,CO,0.7,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,141
2021-07-03,CO,0.7,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,140
2021-07-02,CO,0.698,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,139
2021-07-01,CO,0.698,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,138
2021-06-30,CO,0.6970000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,137
2021-06-29,CO,0.696,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,136
2021-06-28,CO,0.695,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,135
2021-06-27,CO,0.6940000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,134
