STATE,COUNTYFP,CTYNAME,POPESTIMATE2016,POPESTIMATE2020,RNETMIG2020,mask_usage_type,mask_usage,changecolor,party
1,1001,Autauga County,55302,56145,6.290544525,FREQUENT,0.739,#970D03,Republican
1,1001,Autauga County,55302,56145,6.290544525,NOT FREQUENT,0.261,#970D03,Republican
1,1003,Baldwin County,207787,229287,26.40156166,FREQUENT,0.759,#970D03,Republican
1,1003,Baldwin County,207787,229287,26.40156166,NOT FREQUENT,0.24000000000000002,#970D03,Republican
1,1005,Barbour County,25828,24589,0.649798968,FREQUENT,0.692,#970D03,Republican
1,1005,Barbour County,25828,24589,0.649798968,NOT FREQUENT,0.308,#970D03,Republican
1,1007,Bibb County,22590,22136,-7.199262076,FREQUENT,0.85,#970D03,Republican
1,1007,Bibb County,22590,22136,-7.199262076,NOT FREQUENT,0.15000000000000002,#970D03,Republican
1,1009,Blount County,57487,57879,1.192544008,FREQUENT,0.653,#970D03,Republican
1,1009,Blount County,57487,57879,1.192544008,NOT FREQUENT,0.347,#970D03,Republican
1,1011,Bullock County,10397,9976,-16.40159046,FREQUENT,0.786,#030D97,Democrat
1,1011,Bullock County,10397,9976,-16.40159046,NOT FREQUENT,0.215,#030D97,Democrat
1,1013,Butler County,20040,19504,3.48673247,FREQUENT,0.5880000000000001,#970D03,Republican
1,1013,Butler County,20040,19504,3.48673247,NOT FREQUENT,0.41200000000000003,#970D03,Republican
1,1015,Calhoun County,115036,113469,-2.452326854,FREQUENT,0.609,#970D03,Republican
1,1015,Calhoun County,115036,113469,-2.452326854,NOT FREQUENT,0.39,#970D03,Republican
1,1017,Chambers County,33742,32865,-5.899348046,FREQUENT,0.6960000000000001,#970D03,Republican
1,1017,Chambers County,33742,32865,-5.899348046,NOT FREQUENT,0.304,#970D03,Republican
1,1019,Cherokee County,25769,26294,7.992692396,FREQUENT,0.678,#970D03,Republican
1,1019,Cherokee County,25769,26294,7.992692396,NOT FREQUENT,0.323,#970D03,Republican
1,1021,Chilton County,43854,44397,2.277082629,FREQUENT,0.812,#970D03,Republican
1,1021,Chilton County,43854,44397,2.277082629,NOT FREQUENT,0.188,#970D03,Republican
1,1023,Choctaw County,13049,12418,-8.961792358,FREQUENT,0.7869999999999999,#970D03,Republican
1,1023,Choctaw County,13049,12418,-8.961792358,NOT FREQUENT,0.213,#970D03,Republican
1,1025,Clarke County,24342,23291,-11.75919219,FREQUENT,0.698,#970D03,Republican
1,1025,Clarke County,24342,23291,-11.75919219,NOT FREQUENT,0.30100000000000005,#970D03,Republican
1,1027,Clay County,13393,13112,-6.672479812,FREQUENT,0.498,#970D03,Republican
1,1027,Clay County,13393,13112,-6.672479812,NOT FREQUENT,0.501,#970D03,Republican
1,1029,Cleburne County,14871,14967,3.609746315,FREQUENT,0.585,#970D03,Republican
1,1029,Cleburne County,14871,14967,3.609746315,NOT FREQUENT,0.41400000000000003,#970D03,Republican
1,1031,Coffee County,51281,53230,11.5803493,FREQUENT,0.652,#970D03,Republican
1,1031,Coffee County,51281,53230,11.5803493,NOT FREQUENT,0.347,#970D03,Republican
1,1033,Colbert County,54483,55411,4.753642049,FREQUENT,0.669,#970D03,Republican
1,1033,Colbert County,54483,55411,4.753642049,NOT FREQUENT,0.32999999999999996,#970D03,Republican
1,1035,Conecuh County,12495,11851,-10.3739647,FREQUENT,0.591,#970D03,Republican
1,1035,Conecuh County,12495,11851,-10.3739647,NOT FREQUENT,0.41000000000000003,#970D03,Republican
1,1037,Coosa County,10812,10650,3.376002251,FREQUENT,0.647,#970D03,Republican
1,1037,Coosa County,10812,10650,3.376002251,NOT FREQUENT,0.353,#970D03,Republican
1,1039,Covington County,37400,36930,0.189158515,FREQUENT,0.5569999999999999,#970D03,Republican
1,1039,Covington County,37400,36930,0.189158515,NOT FREQUENT,0.444,#970D03,Republican
1,1041,Crenshaw County,13911,13681,-4.510403026,FREQUENT,0.649,#970D03,Republican
1,1041,Crenshaw County,13911,13681,-4.510403026,NOT FREQUENT,0.35,#970D03,Republican
1,1043,Cullman County,82434,84515,12.36924577,FREQUENT,0.596,#970D03,Republican
1,1043,Cullman County,82434,84515,12.36924577,NOT FREQUENT,0.403,#970D03,Republican
1,1045,Dale County,49476,48959,-7.185531231,FREQUENT,0.68,#970D03,Republican
1,1045,Dale County,49476,48959,-7.185531231,NOT FREQUENT,0.32,#970D03,Republican
1,1047,Dallas County,40105,36098,-24.64519651,FREQUENT,0.646,#030D97,Democrat
1,1047,Dallas County,40105,36098,-24.64519651,NOT FREQUENT,0.354,#030D97,Democrat
1,1049,DeKalb County,71116,71658,3.18515828,FREQUENT,0.7589999999999999,#970D03,Republican
1,1049,DeKalb County,71116,71658,3.18515828,NOT FREQUENT,0.241,#970D03,Republican
1,1051,Elmore County,81258,82158,6.767114754,FREQUENT,0.737,#970D03,Republican
1,1051,Elmore County,81258,82158,6.767114754,NOT FREQUENT,0.264,#970D03,Republican
1,1053,Escambia County,37500,36281,-6.012354152,FREQUENT,0.6719999999999999,#970D03,Republican
1,1053,Escambia County,37500,36281,-6.012354152,NOT FREQUENT,0.328,#970D03,Republican
1,1055,Etowah County,102931,102371,3.378394872,FREQUENT,0.623,#970D03,Republican
1,1055,Etowah County,102931,102371,3.378394872,NOT FREQUENT,0.377,#970D03,Republican
1,1057,Fayette County,16581,16241,3.07503075,FREQUENT,0.662,#970D03,Republican
1,1057,Fayette County,16581,16241,3.07503075,NOT FREQUENT,0.33699999999999997,#970D03,Republican
1,1059,Franklin County,31674,31507,-2.91628364,FREQUENT,0.64,#970D03,Republican
1,1059,Franklin County,31674,31507,-2.91628364,NOT FREQUENT,0.359,#970D03,Republican
1,1061,Geneva County,26497,26411,8.194233687,FREQUENT,0.603,#970D03,Republican
1,1061,Geneva County,26497,26411,8.194233687,NOT FREQUENT,0.396,#970D03,Republican
1,1063,Greene County,8485,7990,-12.92407108,FREQUENT,0.79,#030D97,Democrat
1,1063,Greene County,8485,7990,-12.92407108,NOT FREQUENT,0.21,#030D97,Democrat
1,1065,Hale County,14845,14670,1.840553529,FREQUENT,0.8300000000000001,#030D97,Democrat
1,1065,Hale County,14845,14670,1.840553529,NOT FREQUENT,0.17099999999999999,#030D97,Democrat
1,1067,Henry County,17062,17223,10.48095959,FREQUENT,0.696,#970D03,Republican
1,1067,Henry County,17062,17223,10.48095959,NOT FREQUENT,0.30400000000000005,#970D03,Republican
1,1069,Houston County,104355,106580,1.992293957,FREQUENT,0.7010000000000001,#970D03,Republican
1,1069,Houston County,104355,106580,1.992293957,NOT FREQUENT,0.29900000000000004,#970D03,Republican
1,1071,Jackson County,52058,51582,1.62705561,FREQUENT,0.7090000000000001,#970D03,Republican
1,1071,Jackson County,52058,51582,1.62705561,NOT FREQUENT,0.291,#970D03,Republican
1,1073,Jefferson County,660507,655342,-5.6276025,FREQUENT,0.8069999999999999,#030D97,Democrat
1,1073,Jefferson County,660507,655342,-5.6276025,NOT FREQUENT,0.193,#030D97,Democrat
1,1075,Lamar County,13926,13764,-0.362568435,FREQUENT,0.716,#970D03,Republican
