COUNTYFP,deaths_avg_per_100k,state,state_po,CTYNAME,party_winner_2020,totalvotes_2020,fractionalvotes_2020,party_winner_2016,totalvotes_2016,fractionalvotes_2016,changecolor,_merge,pct_increase,segmentname
31075,4.500280373831776,NEBRASKA,NE,GRANT,REPUBLICAN,402.0,0.9328358208955224,REPUBLICAN,405.0,0.9061728395061729,#970D03,both,2.6662981389349527,Stayed Republican
30011,3.2270707070707076,MONTANA,MT,CARTER,REPUBLICAN,864.0,0.8969907407407407,REPUBLICAN,786.0,0.8625954198473282,#970D03,both,3.439532089341246,Stayed Republican
30109,3.132222222222223,MONTANA,MT,WIBAUX,REPUBLICAN,598.0,0.862876254180602,REPUBLICAN,541.0,0.8558225508317929,#970D03,both,0.705370334880906,Stayed Republican
38021,3.08352112676056,NORTH DAKOTA,ND,DICKEY,REPUBLICAN,2424.0,0.7186468646864687,REPUBLICAN,2407.0,0.692563356875779,#970D03,both,2.608350781068969,Stayed Republican
46053,2.889209302325581,SOUTH DAKOTA,SD,GREGORY,REPUBLICAN,2258.0,0.7843224092116917,REPUBLICAN,2091.0,0.7651841224294595,#970D03,both,1.9138286782232172,Stayed Republican
48261,2.8818131868131873,TEXAS,TX,KENEDY,REPUBLICAN,194.0,0.654639175257732,DEMOCRAT,186.0,0.532258064516129,#AB5A68,both,12.238111074160296,To Republican
46073,2.7908239700374553,SOUTH DAKOTA,SD,JERAULD,REPUBLICAN,1006.0,0.7166998011928429,REPUBLICAN,967.0,0.6701137538779731,#970D03,both,4.658604731486982,Stayed Republican
20063,2.7099999999999986,KANSAS,KS,GOVE,REPUBLICAN,1471.0,0.8776342624065262,REPUBLICAN,1343.0,0.8488458674609084,#970D03,both,2.87883949456178,Stayed Republican
38095,2.566910112359547,NORTH DAKOTA,ND,TOWNER,REPUBLICAN,1174.0,0.706984667802385,REPUBLICAN,1157.0,0.6335350043215212,#970D03,both,7.344966348086379,Stayed Republican
20135,2.391359649122806,KANSAS,KS,NESS,REPUBLICAN,1513.0,0.8849966953073364,REPUBLICAN,1454.0,0.844566712517194,#970D03,both,4.042998279014243,Stayed Republican
30069,2.3330681818181813,MONTANA,MT,PETROLEUM,REPUBLICAN,348.0,0.8563218390804598,REPUBLICAN,322.0,0.8633540372670807,#970D03,both,-0.703219818662093,Stayed Republican
31135,2.3057575757575757,NEBRASKA,NE,PERKINS,REPUBLICAN,1544.0,0.8555699481865285,REPUBLICAN,1455.0,0.836426116838488,#970D03,both,1.914383134804054,Stayed Republican
30019,2.253812499999999,MONTANA,MT,DANIELS,REPUBLICAN,1014.0,0.7879684418145957,REPUBLICAN,962.0,0.7588357588357588,#970D03,both,2.9132682978836866,Stayed Republican
38047,2.224745762711867,NORTH DAKOTA,ND,LOGAN,REPUBLICAN,1076.0,0.8643122676579925,REPUBLICAN,1067.0,0.8322399250234301,#970D03,both,3.207234263456238,Stayed Republican
46105,2.206494252873564,SOUTH DAKOTA,SD,PERKINS,REPUBLICAN,1669.0,0.8394248052726183,REPUBLICAN,1606.0,0.8300124533001245,#970D03,both,0.9412351972493793,Stayed Republican
13141,2.118921933085506,GEORGIA,GA,HANCOCK,DEMOCRAT,4165.0,0.7166866746698679,DEMOCRAT,3580.0,0.7544692737430168,#030D97,both,-3.778259907314885,Stayed Democrat
38075,2.1049795918367344,NORTH DAKOTA,ND,RENVILLE,REPUBLICAN,1319.0,0.8074298711144806,REPUBLICAN,1293.0,0.7679814385150812,#970D03,both,3.9448432599399452,Stayed Republican
38031,2.0987588652482265,NORTH DAKOTA,ND,FOSTER,REPUBLICAN,1778.0,0.766029246344207,REPUBLICAN,1719.0,0.7219313554392088,#970D03,both,4.409789090499816,Stayed Republican
46055,2.0592178770949725,SOUTH DAKOTA,SD,HAAKON,REPUBLICAN,1137.0,0.9023746701846965,REPUBLICAN,1044.0,0.896551724137931,#970D03,both,0.5822946046765476,Stayed Republican
46017,2.0548387096774183,SOUTH DAKOTA,SD,BUFFALO,DEMOCRAT,549.0,0.6411657559198543,DEMOCRAT,490.0,0.6040816326530613,#030D97,both,3.7084123266793,Stayed Democrat
30071,2.036577181208055,MONTANA,MT,PHILLIPS,REPUBLICAN,2382.0,0.8127623845507976,REPUBLICAN,2171.0,0.7936434822662367,#970D03,both,1.9118902284560924,Stayed Republican
46125,2.028956834532376,SOUTH DAKOTA,SD,TURNER,REPUBLICAN,4548.0,0.7233948988566403,REPUBLICAN,4150.0,0.707710843373494,#970D03,both,1.568405548314633,Stayed Republican
48155,1.9792000000000003,TEXAS,TX,FOARD,REPUBLICAN,551.0,0.8076225045372051,REPUBLICAN,513.0,0.746588693957115,#970D03,both,6.103381058009005,Stayed Republican
30005,1.948816568047335,MONTANA,MT,BLAINE,DEMOCRAT,3117.0,0.5097850497273019,REPUBLICAN,2684.0,0.47242921013412814,#11A3D6,both,3.735583959317373,To Democrat
29057,1.9179999999999984,MISSOURI,MO,DADE,REPUBLICAN,4119.0,0.8288419519300801,REPUBLICAN,3951.0,0.8058719311566692,#970D03,both,2.2970020773410926,Stayed Republican
48279,1.895376344086023,TEXAS,TX,LAMB,REPUBLICAN,4410.0,0.7984126984126985,REPUBLICAN,3995.0,0.7787234042553192,#970D03,both,1.96892941573793,Stayed Republican
46057,1.894121863799283,SOUTH DAKOTA,SD,HAMLIN,REPUBLICAN,3083.0,0.7693804735647097,REPUBLICAN,2762.0,0.7425778421433744,#970D03,both,2.680263142133532,Stayed Republican
38045,1.8917224880382748,NORTH DAKOTA,ND,LAMOURE,REPUBLICAN,2219.0,0.7413249211356467,REPUBLICAN,2151.0,0.6885169688516969,#970D03,both,5.280795228394986,Stayed Republican
55051,1.8837142857142855,WISCONSIN,WI,IRON,REPUBLICAN,4010.0,0.6079800498753117,REPUBLICAN,3497.0,0.597655132971118,#970D03,both,1.0324916904193682,Stayed Republican
13243,1.8562020905923384,GEORGIA,GA,RANDOLPH,DEMOCRAT,3074.0,0.5435914118412492,DEMOCRAT,2899.0,0.55122456019317,#030D97,both,-0.763314835192086,Stayed Democrat
20131,1.8415725806451606,KANSAS,KS,NEMAHA,REPUBLICAN,5684.0,0.8205489092188599,REPUBLICAN,5122.0,0.8051542366263178,#970D03,both,1.5394672592542125,Stayed Republican
30075,1.8351234567901236,MONTANA,MT,POWDER RIVER,REPUBLICAN,1136.0,0.8538732394366197,REPUBLICAN,1053.0,0.8395061728395061,#970D03,both,1.436706659711362,Stayed Republican
22037,1.7644128113879034,LOUISIANA,LA,EAST FELICIANA,REPUBLICAN,10509.0,0.5770292130554763,REPUBLICAN,10042.0,0.5545708026289584,#970D03,both,2.245841042651786,Stayed Republican
46051,1.7310000000000003,SOUTH DAKOTA,SD,GRANT,REPUBLICAN,3745.0,0.6990654205607477,REPUBLICAN,3564.0,0.6683501683501684,#970D03,both,3.071525221057936,Stayed Republican
46049,1.7307142857142852,SOUTH DAKOTA,SD,FAULK,REPUBLICAN,1182.0,0.8155668358714044,REPUBLICAN,1118.0,0.7674418604651163,#970D03,both,4.812497540628813,Stayed Republican
