state_po,county_name,county_fips,candidate,party,candidatevotes,totalvotes,UrbanRural,PctRural,Infrequent,Frequent
AL,BARBOUR,1005,DONALD J TRUMP,REPUBLICAN,5622.0,10518.0,rural,67.7896347015333,0.308,0.692
AL,BIBB,1007,DONALD J TRUMP,REPUBLICAN,7525.0,9595.0,rural,68.35260746236091,0.15000000000000002,0.85
AL,BLOUNT,1009,DONALD J TRUMP,REPUBLICAN,24711.0,27588.0,rural,89.95150204110115,0.347,0.653
AL,BULLOCK,1011,JOSEPH R BIDEN JR,DEMOCRAT,3446.0,4613.0,rural,51.37438152831226,0.215,0.786
AL,BUTLER,1013,DONALD J TRUMP,REPUBLICAN,5458.0,9488.0,rural,71.23215734950112,0.41200000000000003,0.5880000000000001
AL,CHEROKEE,1019,DONALD J TRUMP,REPUBLICAN,10583.0,12301.0,rural,85.73627303859325,0.323,0.678
AL,CHILTON,1021,DONALD J TRUMP,REPUBLICAN,16085.0,19310.0,rural,86.74472423985519,0.188,0.812
AL,CHOCTAW,1023,DONALD J TRUMP,REPUBLICAN,4296.0,7464.0,rural,100.0,0.213,0.7869999999999999
AL,CLARKE,1025,DONALD J TRUMP,REPUBLICAN,7324.0,13135.0,rural,75.980335230132,0.30100000000000005,0.698
AL,CLAY,1027,DONALD J TRUMP,REPUBLICAN,5601.0,6930.0,rural,100.0,0.501,0.498
AL,CLEBURNE,1029,DONALD J TRUMP,REPUBLICAN,6484.0,7227.0,rural,100.0,0.41400000000000003,0.585
AL,CONECUH,1035,DONALD J TRUMP,REPUBLICAN,3442.0,6441.0,rural,80.94950105836105,0.41000000000000003,0.591
AL,COOSA,1037,DONALD J TRUMP,REPUBLICAN,3631.0,5479.0,rural,100.0,0.353,0.647
AL,COVINGTON,1039,DONALD J TRUMP,REPUBLICAN,14586.0,17430.0,rural,69.65179398914339,0.444,0.5569999999999999
AL,CRENSHAW,1041,DONALD J TRUMP,REPUBLICAN,4864.0,6617.0,rural,100.0,0.35,0.649
AL,CULLMAN,1043,DONALD J TRUMP,REPUBLICAN,36880.0,41851.0,rural,73.23955923687288,0.403,0.596
AL,DALE,1045,DONALD J TRUMP,REPUBLICAN,14303.0,19738.0,rural,50.888539531551615,0.32,0.68
AL,DEKALB,1049,DONALD J TRUMP,REPUBLICAN,24767.0,29356.0,rural,90.13064450350869,0.241,0.7589999999999999
AL,ELMORE,1051,DONALD J TRUMP,REPUBLICAN,30164.0,41030.0,rural,54.188366139994706,0.264,0.737
AL,ESCAMBIA,1053,DONALD J TRUMP,REPUBLICAN,10869.0,15910.0,rural,63.5115738928469,0.328,0.6719999999999999
AL,FAYETTE,1057,DONALD J TRUMP,REPUBLICAN,7300.0,8766.0,rural,80.23316512963285,0.33699999999999997,0.662
AL,FRANKLIN,1059,DONALD J TRUMP,REPUBLICAN,10376.0,12578.0,rural,70.36651526621247,0.359,0.64
AL,GENEVA,1061,DONALD J TRUMP,REPUBLICAN,10848.0,12545.0,rural,89.64165733482643,0.396,0.603
AL,GREENE,1063,JOSEPH R BIDEN JR,DEMOCRAT,3884.0,4775.0,rural,100.0,0.21,0.79
AL,HALE,1065,JOSEPH R BIDEN JR,DEMOCRAT,4663.0,7900.0,rural,89.16878172588832,0.17099999999999999,0.8300000000000001
