date,changecolor,cases_avg_per_100k,segmentname
2020-03-02,#030D97,0.16,Stayed Democrat
2020-03-03,#030D97,0.32,Stayed Democrat
2020-03-04,#030D97,0.32,Stayed Democrat
2020-03-05,#030D97,0.32,Stayed Democrat
2020-03-06,#030D97,0.31666666666666665,Stayed Democrat
2020-03-06,#970D03,0.27666666666666667,Stayed Republican
2020-03-07,#030D97,0.36999999999999994,Stayed Democrat
2020-03-07,#556B2F,0.4,To other
2020-03-07,#970D03,0.27666666666666667,Stayed Republican
2020-03-08,#030D97,0.36999999999999994,Stayed Democrat
2020-03-08,#556B2F,0.4,To other
2020-03-08,#970D03,0.56,Stayed Republican
2020-03-09,#030D97,0.31666666666666665,Stayed Democrat
2020-03-09,#556B2F,0.4,To other
2020-03-09,#970D03,0.5133333333333333,Stayed Republican
2020-03-10,#030D97,0.40249999999999997,Stayed Democrat
2020-03-10,#556B2F,0.4,To other
2020-03-10,#970D03,0.8922222222222221,Stayed Republican
2020-03-11,#030D97,0.81,Stayed Democrat
2020-03-11,#556B2F,0.4,To other
2020-03-11,#970D03,1.01,Stayed Republican
2020-03-12,#030D97,0.9380000000000001,Stayed Democrat
2020-03-12,#556B2F,0.4,To other
2020-03-12,#970D03,0.7744444444444444,Stayed Republican
2020-03-13,#030D97,0.9799999999999999,Stayed Democrat
2020-03-13,#11A3D6,0.66,To Democrat
2020-03-13,#556B2F,0.4,To other
2020-03-13,#970D03,0.7088888888888889,Stayed Republican
2020-03-14,#030D97,1.1914285714285715,Stayed Democrat
2020-03-14,#11A3D6,0.9199999999999999,To Democrat
2020-03-14,#556B2F,0.25333333333333335,To other
2020-03-14,#970D03,0.7142105263157895,Stayed Republican
2020-03-15,#030D97,1.336666666666667,Stayed Democrat
2020-03-15,#11A3D6,0.9199999999999999,To Democrat
2020-03-15,#556B2F,0.47333333333333333,To other
2020-03-15,#970D03,0.729090909090909,Stayed Republican
2020-03-16,#030D97,1.5040000000000002,Stayed Democrat
2020-03-16,#11A3D6,0.6275000000000001,To Democrat
2020-03-16,#556B2F,0.5800000000000001,To other
2020-03-16,#970D03,0.7692156862745099,Stayed Republican
2020-03-17,#030D97,1.3515384615384616,Stayed Democrat
2020-03-17,#11A3D6,0.526,To Democrat
2020-03-17,#556B2F,0.5800000000000001,To other
2020-03-17,#970D03,0.7172857142857142,Stayed Republican
2020-03-18,#030D97,1.157777777777778,Stayed Democrat
2020-03-18,#11A3D6,0.65,To Democrat
2020-03-18,#556B2F,0.5800000000000001,To other
2020-03-18,#970D03,0.7146808510638293,Stayed Republican
2020-03-19,#030D97,1.1695454545454547,Stayed Democrat
2020-03-19,#11A3D6,0.6883333333333334,To Democrat
2020-03-19,#556B2F,0.8050000000000002,To other
2020-03-19,#970D03,0.8175735294117645,Stayed Republican
2020-03-20,#030D97,1.093939393939394,Stayed Democrat
2020-03-20,#11A3D6,0.6466666666666666,To Democrat
2020-03-20,#556B2F,0.8966666666666668,To other
2020-03-20,#970D03,0.8639010989010993,Stayed Republican
2020-03-20,#AB5A68,0.42,To Republican
2020-03-21,#030D97,1.2064102564102563,Stayed Democrat
2020-03-21,#11A3D6,0.71,To Democrat
2020-03-21,#556B2F,0.9575,To other
2020-03-21,#970D03,0.9628510638297872,Stayed Republican
2020-03-21,#AB5A68,0.44499999999999995,To Republican
2020-03-22,#030D97,1.5117948717948717,Stayed Democrat
2020-03-22,#11A3D6,0.7528571428571428,To Democrat
2020-03-22,#556B2F,1.0012500000000002,To other
2020-03-22,#970D03,1.0094845360824745,Stayed Republican
2020-03-22,#AB5A68,0.44499999999999995,To Republican
2020-03-23,#030D97,1.6448888888888888,Stayed Democrat
2020-03-23,#11A3D6,0.6985714285714285,To Democrat
2020-03-23,#556B2F,0.88875,To other
2020-03-23,#970D03,1.0738253012048196,Stayed Republican
2020-03-23,#AB5A68,0.9333333333333332,To Republican
2020-03-24,#030D97,1.9797959183673468,Stayed Democrat
2020-03-24,#11A3D6,0.6985714285714285,To Democrat
2020-03-24,#556B2F,1.516,To other
2020-03-24,#970D03,1.256121951219511,Stayed Republican
2020-03-24,#AB5A68,1.0766666666666669,To Republican
2020-03-25,#030D97,2.1789473684210523,Stayed Democrat
2020-03-25,#11A3D6,0.595,To Democrat
2020-03-25,#556B2F,1.919090909090909,To other
2020-03-25,#970D03,1.3198422090729778,Stayed Republican
2020-03-25,#AB5A68,1.0766666666666669,To Republican
2020-03-26,#030D97,2.5620312499999995,Stayed Democrat
2020-03-26,#11A3D6,0.62125,To Democrat
2020-03-26,#556B2F,2.065454545454546,To other
2020-03-26,#970D03,1.4598474576271177,Stayed Republican
2020-03-26,#AB5A68,1.5,To Republican
2020-03-27,#030D97,2.9097142857142857,Stayed Democrat
2020-03-27,#11A3D6,0.6975,To Democrat
2020-03-27,#556B2F,2.3009090909090912,To other
2020-03-27,#970D03,1.5863691376701963,Stayed Republican
2020-03-27,#AB5A68,1.5,To Republican
2020-03-28,#030D97,3.4418309859154923,Stayed Democrat
2020-03-28,#11A3D6,0.5925,To Democrat
2020-03-28,#556B2F,2.441818181818182,To other
2020-03-28,#970D03,1.6895399188092013,Stayed Republican
2020-03-28,#AB5A68,1.4833333333333334,To Republican
2020-03-29,#030D97,3.4839473684210516,Stayed Democrat
2020-03-29,#11A3D6,0.7374999999999999,To Democrat
2020-03-29,#556B2F,2.768181818181818,To other
2020-03-29,#970D03,1.7942085427135686,Stayed Republican
2020-03-29,#AB5A68,2.9666666666666663,To Republican
2020-03-30,#030D97,4.084880952380952,Stayed Democrat
2020-03-30,#11A3D6,0.7655555555555557,To Democrat
2020-03-30,#556B2F,3.1163636363636367,To other
2020-03-30,#970D03,1.9629080459770114,Stayed Republican
2020-03-30,#AB5A68,2.6133333333333333,To Republican
2020-03-31,#030D97,4.734946236559142,Stayed Democrat
2020-03-31,#11A3D6,0.9011111111111111,To Democrat
2020-03-31,#556B2F,2.6863636363636365,To other
2020-03-31,#970D03,2.161881081081081,Stayed Republican
2020-03-31,#AB5A68,4.3133333333333335,To Republican
2020-04-01,#030D97,4.8382828282828285,Stayed Democrat
2020-04-01,#11A3D6,1.0788888888888888,To Democrat
2020-04-01,#556B2F,2.520909090909091,To other
2020-04-01,#970D03,2.2757260556127696,Stayed Republican
2020-04-01,#AB5A68,4.736666666666667,To Republican
2020-04-02,#030D97,5.1686000000000005,Stayed Democrat
2020-04-02,#11A3D6,1.3622222222222222,To Democrat
2020-04-02,#556B2F,2.68,To other
2020-04-02,#970D03,2.4026048780487805,Stayed Republican
2020-04-02,#AB5A68,4.733333333333333,To Republican
2020-04-03,#030D97,5.551599999999999,Stayed Democrat
2020-04-03,#11A3D6,1.3966666666666667,To Democrat
2020-04-03,#556B2F,3.2018181818181817,To other
2020-04-03,#970D03,2.6146735074626872,Stayed Republican
2020-04-03,#AB5A68,5.013333333333333,To Republican
2020-04-04,#030D97,6.187843137254905,Stayed Democrat
2020-04-04,#11A3D6,1.5566666666666664,To Democrat
2020-04-04,#556B2F,3.362727272727273,To other
2020-04-04,#970D03,2.7700722021660646,Stayed Republican
2020-04-04,#AB5A68,6.640000000000001,To Republican
2020-04-05,#030D97,6.737843137254901,Stayed Democrat
2020-04-05,#11A3D6,1.59,To Democrat
2020-04-05,#556B2F,3.761818181818182,To other
2020-04-05,#970D03,2.9896214788732425,Stayed Republican
2020-04-05,#AB5A68,6.426666666666667,To Republican
2020-04-06,#030D97,7.03833333333333,Stayed Democrat
2020-04-06,#11A3D6,1.7066666666666668,To Democrat
2020-04-06,#556B2F,3.6981818181818182,To other
2020-04-06,#970D03,3.1505877342419115,Stayed Republican
2020-04-06,#AB5A68,6.919999999999999,To Republican
2020-04-07,#030D97,9.205533980582524,Stayed Democrat
2020-04-07,#11A3D6,2.0722222222222224,To Democrat
2020-04-07,#556B2F,4.036666666666667,To other
2020-04-07,#970D03,3.3068009868421044,Stayed Republican
2020-04-07,#AB5A68,7.556666666666666,To Republican
2020-04-08,#030D97,9.469999999999999,Stayed Democrat
2020-04-08,#11A3D6,2.2700000000000005,To Democrat
2020-04-08,#556B2F,3.895,To other
2020-04-08,#970D03,3.409466882067849,Stayed Republican
2020-04-08,#AB5A68,8.549999999999999,To Republican
2020-04-09,#030D97,9.533584905660382,Stayed Democrat
2020-04-09,#11A3D6,2.302222222222222,To Democrat
2020-04-09,#556B2F,4.138333333333333,To other
2020-04-09,#970D03,3.5392545598731115,Stayed Republican
2020-04-09,#AB5A68,9.290000000000001,To Republican
2020-04-10,#030D97,9.772242990654206,Stayed Democrat
2020-04-10,#11A3D6,2.318888888888889,To Democrat
2020-04-10,#556B2F,4.0575,To other
2020-04-10,#970D03,3.587059282371295,Stayed Republican
2020-04-10,#AB5A68,10.516666666666667,To Republican
2020-04-11,#030D97,9.467614678899087,Stayed Democrat
2020-04-11,#11A3D6,2.3277777777777775,To Democrat
2020-04-11,#556B2F,4.390833333333334,To other
2020-04-11,#970D03,3.6099385088393556,Stayed Republican
2020-04-11,#AB5A68,10.416666666666668,To Republican
2020-04-12,#030D97,9.765229357798168,Stayed Democrat
2020-04-12,#11A3D6,2.1933333333333334,To Democrat
2020-04-12,#556B2F,3.8433333333333337,To other
2020-04-12,#970D03,3.5792938496583138,Stayed Republican
2020-04-12,#AB5A68,9.51,To Republican
2020-04-13,#030D97,9.990917431192663,Stayed Democrat
2020-04-13,#11A3D6,2.6800000000000006,To Democrat
2020-04-13,#556B2F,3.915833333333333,To other
2020-04-13,#970D03,3.5515813253012056,Stayed Republican
2020-04-13,#AB5A68,8.873333333333333,To Republican
2020-04-14,#030D97,8.190090909090905,Stayed Democrat
2020-04-14,#11A3D6,2.417777777777778,To Democrat
2020-04-14,#556B2F,3.1050000000000004,To other
2020-04-14,#970D03,3.4777761194029817,Stayed Republican
2020-04-14,#AB5A68,6.823333333333334,To Republican
2020-04-15,#030D97,8.626090909090907,Stayed Democrat
2020-04-15,#11A3D6,2.1688888888888886,To Democrat
2020-04-15,#556B2F,2.980833333333333,To other
2020-04-15,#970D03,3.541543574593792,Stayed Republican
2020-04-15,#AB5A68,5.91,To Republican
2020-04-16,#030D97,8.645999999999999,Stayed Democrat
2020-04-16,#11A3D6,1.887777777777778,To Democrat
2020-04-16,#556B2F,2.5191666666666666,To other
2020-04-16,#970D03,3.5413626373626332,Stayed Republican
2020-04-16,#AB5A68,7.866666666666667,To Republican
2020-04-17,#030D97,8.67390909090909,Stayed Democrat
2020-04-17,#11A3D6,2.466666666666667,To Democrat
2020-04-17,#556B2F,1.964166666666667,To other
2020-04-17,#970D03,3.5669577874818055,Stayed Republican
2020-04-17,#AB5A68,8.106666666666667,To Republican
2020-04-18,#030D97,8.537363636363633,Stayed Democrat
2020-04-18,#11A3D6,2.8655555555555554,To Democrat
2020-04-18,#556B2F,1.6525,To other
2020-04-18,#970D03,3.549406657018814,Stayed Republican
2020-04-18,#AB5A68,9.616666666666665,To Republican
2020-04-19,#030D97,8.145545454545452,Stayed Democrat
2020-04-19,#11A3D6,3.2077777777777774,To Democrat
2020-04-19,#556B2F,1.7141666666666666,To other
2020-04-19,#970D03,3.642192667145935,Stayed Republican
2020-04-19,#AB5A68,10.196666666666667,To Republican
2020-04-20,#030D97,7.948090909090909,Stayed Democrat
2020-04-20,#11A3D6,3.521111111111111,To Democrat
2020-04-20,#556B2F,1.455,To other
2020-04-20,#970D03,3.676098783106649,Stayed Republican
2020-04-20,#AB5A68,11.706666666666665,To Republican
2020-04-21,#030D97,7.964454545454548,Stayed Democrat
2020-04-21,#11A3D6,3.4177777777777774,To Democrat
2020-04-21,#556B2F,1.5300000000000002,To other
2020-04-21,#970D03,3.85412268188302,Stayed Republican
2020-04-21,#AB5A68,12.926666666666668,To Republican
2020-04-22,#030D97,7.7818181818181795,Stayed Democrat
2020-04-22,#11A3D6,3.888888888888889,To Democrat
2020-04-22,#556B2F,1.5416666666666667,To other
2020-04-22,#970D03,4.046974431818179,Stayed Republican
2020-04-22,#AB5A68,14.593333333333334,To Republican
2020-04-23,#030D97,7.9619090909090895,Stayed Democrat
2020-04-23,#11A3D6,6.2555555555555555,To Democrat
2020-04-23,#556B2F,1.5008333333333335,To other
2020-04-23,#970D03,4.3736248236953434,Stayed Republican
2020-04-23,#AB5A68,15.613333333333335,To Republican
2020-04-24,#030D97,8.35090909090909,Stayed Democrat
2020-04-24,#11A3D6,6.063333333333333,To Democrat
2020-04-24,#556B2F,1.2641666666666667,To other
2020-04-24,#970D03,4.711984517945107,Stayed Republican
2020-04-24,#AB5A68,18.656666666666666,To Republican
2020-04-25,#030D97,9.55172727272727,Stayed Democrat
2020-04-25,#11A3D6,5.804444444444444,To Democrat
2020-04-25,#556B2F,0.8566666666666668,To other
2020-04-25,#970D03,4.953998599439771,Stayed Republican
2020-04-25,#AB5A68,16.81,To Republican
2020-04-26,#030D97,9.81054545454545,Stayed Democrat
2020-04-26,#11A3D6,5.6944444444444455,To Democrat
2020-04-26,#556B2F,0.7050000000000001,To other
2020-04-26,#970D03,4.927190775681337,Stayed Republican
2020-04-26,#AB5A68,19.400000000000002,To Republican
2020-04-27,#030D97,9.964181818181817,Stayed Democrat
