date,state,cases_avg_per_100k,deaths_avg_per_100k,STATEFP
2021-02-13,Alabama,24.9,2.12,1
2021-02-14,Alabama,24.79,2.12,1
2021-02-15,Alabama,24.06,2.1,1
2021-02-16,Alabama,22.79,1.98,1
2021-02-17,Alabama,20.69,1.33,1
2021-02-18,Alabama,19.8,1.17,1
2021-02-19,Alabama,19.07,1.15,1
2021-02-20,Alabama,17.86,1.01,1
2021-02-21,Alabama,17.22,1.02,1
2021-02-22,Alabama,17.23,1.01,1
2021-02-23,Alabama,18.89,1.17,1
2021-02-24,Alabama,20.55,1.16,1
2021-02-25,Alabama,19.65,1.19,1
2021-02-26,Alabama,19.34,0.86,1
2021-02-27,Alabama,19.51,0.99,1
2021-02-28,Alabama,18.67,1.15,1
2021-03-01,Alabama,18.21,1.16,1
2021-03-02,Alabama,15.87,1.13,1
2021-03-03,Alabama,14.28,0.97,1
2021-03-04,Alabama,14.39,0.9,1
2021-03-05,Alabama,14.63,0.86,1
2021-03-06,Alabama,13.58,0.75,1
2021-03-07,Alabama,13.03,0.75,1
2021-03-08,Alabama,12.2,0.74,1
2021-03-09,Alabama,11.77,0.67,1
2021-03-10,Alabama,12.37,0.66,1
2021-03-11,Alabama,12.2,0.62,1
2021-03-12,Alabama,11.14,0.61,1
2021-03-13,Alabama,11.35,0.61,1
2021-03-14,Alabama,11.23,0.52,1
2021-03-15,Alabama,12.17,0.53,1
2021-03-16,Alabama,12.05,0.44,1
2021-03-17,Alabama,11.97,0.41,1
2021-03-18,Alabama,10.98,0.34,1
2021-03-19,Alabama,11.26,0.37,1
2021-03-20,Alabama,10.97,0.32,1
2021-03-21,Alabama,10.98,0.32,1
2021-03-22,Alabama,10.34,0.31,1
2021-03-23,Alabama,8.95,0.33,1
2021-03-24,Alabama,9.43,0.36,1
2021-03-25,Alabama,9.0,0.33,1
2021-03-26,Alabama,8.74,0.29,1
2021-03-27,Alabama,8.7,0.26,1
2021-03-28,Alabama,8.54,0.26,1
2021-03-29,Alabama,8.27,0.26,1
2021-03-30,Alabama,9.3,0.22,1
2021-03-31,Alabama,7.8,0.2,1
2021-04-01,Alabama,7.95,0.17,1
2021-04-02,Alabama,7.83,0.29,1
2021-04-03,Alabama,7.41,0.38,1
2021-04-04,Alabama,7.04,0.38,1
2021-04-05,Alabama,6.7,0.38,1
2021-04-06,Alabama,6.22,0.43,1
2021-04-07,Alabama,6.01,0.34,1
2021-04-08,Alabama,5.97,0.36,1
2021-04-09,Alabama,5.73,0.23,1
2021-04-10,Alabama,5.75,0.22,1
2021-04-11,Alabama,6.09,0.22,1
2021-04-12,Alabama,6.27,0.22,1
2021-04-13,Alabama,6.65,0.2,1
2021-04-14,Alabama,6.44,0.22,1
2021-04-15,Alabama,6.3,0.18,1
2021-04-16,Alabama,6.65,0.15,1
2021-04-17,Alabama,7.18,0.23,1
2021-04-18,Alabama,7.04,0.23,1
2021-04-19,Alabama,6.83,0.23,1
2021-04-20,Alabama,6.83,0.22,1
2021-04-21,Alabama,7.29,0.23,1
2021-04-22,Alabama,8.17,0.26,1
2021-04-23,Alabama,8.2,0.29,1
2021-04-24,Alabama,7.9,0.18,1
2021-04-25,Alabama,7.77,0.18,1
2021-04-26,Alabama,8.13,0.18,1
2021-04-27,Alabama,8.02,0.16,1
2021-04-28,Alabama,7.91,0.21,1
2021-04-29,Alabama,7.18,0.18,1
2021-04-30,Alabama,7.12,0.16,1
2021-05-01,Alabama,7.02,0.18,1
2021-05-02,Alabama,7.18,0.18,1
2021-05-03,Alabama,7.1,0.18,1
2021-05-04,Alabama,6.05,0.17,1
2021-05-05,Alabama,6.88,0.15,1
2021-05-06,Alabama,7.28,0.17,1
2021-05-07,Alabama,7.0,0.2,1
2021-05-08,Alabama,7.09,0.19,1
2021-05-09,Alabama,6.97,0.19,1
2021-05-10,Alabama,6.73,0.19,1
2021-05-11,Alabama,7.63,0.21,1
2021-05-12,Alabama,6.72,0.2,1
2021-05-13,Alabama,5.91,0.16,1
2021-05-14,Alabama,5.82,0.17,1
2021-05-15,Alabama,5.13,0.17,1
2021-05-16,Alabama,5.19,0.17,1
2021-05-17,Alabama,5.58,0.17,1
2021-05-18,Alabama,5.72,0.17,1
2021-05-19,Alabama,5.41,0.14,1
2021-05-20,Alabama,5.71,0.22,1
2021-05-21,Alabama,6.27,0.16,1
2021-05-22,Alabama,6.12,0.22,1
2021-05-23,Alabama,5.95,0.22,1
2021-05-24,Alabama,5.8,0.22,1
2021-05-25,Alabama,5.71,0.24,1
2021-05-26,Alabama,5.65,0.27,1
2021-05-27,Alabama,5.67,0.18,1
2021-05-28,Alabama,5.05,0.19,1
2021-05-29,Alabama,4.3,0.1,1
2021-05-30,Alabama,3.73,0.1,1
2021-05-31,Alabama,3.35,0.1,1
2021-06-01,Alabama,4.32,0.09,1
2021-06-02,Alabama,5.15,0.08,1
2021-06-03,Alabama,5.39,0.14,1
2021-06-04,Alabama,6.35,0.15,1
2021-06-05,Alabama,6.35,0.15,1
2021-06-06,Alabama,6.35,0.15,1
2021-06-07,Alabama,8.5,0.21,1
2021-06-08,Alabama,7.27,0.19,1
2021-06-09,Alabama,6.55,0.24,1
2021-06-10,Alabama,6.14,0.19,1
2021-06-11,Alabama,5.06,0.2,1
2021-06-12,Alabama,5.06,0.2,1
2021-06-13,Alabama,5.06,0.2,1
2021-06-14,Alabama,4.51,0.17,1
2021-06-15,Alabama,4.73,0.18,1
2021-06-16,Alabama,4.31,0.11,1
2021-06-17,Alabama,3.46,0.1,1
2021-06-18,Alabama,3.89,0.12,1
2021-06-19,Alabama,3.89,0.12,1
2021-06-20,Alabama,3.89,0.12,1
2021-06-21,Alabama,3.32,0.11,1
2021-06-22,Alabama,2.48,0.09,1
2021-06-23,Alabama,3.12,0.12,1
2021-06-24,Alabama,3.12,0.12,1
2021-06-25,Alabama,3.72,0.09,1
2021-06-26,Alabama,3.72,0.09,1
2021-06-27,Alabama,3.72,0.09,1
2021-06-28,Alabama,4.19,0.08,1
2021-06-29,Alabama,4.19,0.08,1
2021-06-30,Alabama,4.63,0.07,1
2021-07-01,Alabama,4.63,0.07,1
2021-07-02,Alabama,3.97,0.06,1
2021-07-03,Alabama,3.97,0.06,1
2021-07-04,Alabama,3.97,0.06,1
2021-07-05,Alabama,2.47,0.06,1
2021-07-06,Alabama,2.47,0.06,1
2021-07-07,Alabama,5.62,0.1,1
2021-07-08,Alabama,5.62,0.1,1
2021-07-09,Alabama,8.08,0.12,1
2021-07-10,Alabama,9.64,0.13,1
2021-07-11,Alabama,9.64,0.13,1
2021-07-12,Alabama,11.41,0.13,1
2021-07-13,Alabama,11.41,0.13,1
2021-07-14,Alabama,10.79,0.12,1
2021-07-15,Alabama,13.6,0.15,1
2021-07-16,Alabama,13.13,0.13,1
2021-07-17,Alabama,14.2,0.12,1
2021-07-18,Alabama,16.31,0.12,1
2021-07-19,Alabama,16.62,0.12,1
2021-07-20,Alabama,20.67,0.17,1
2021-07-21,Alabama,21.36,0.1,1
2021-02-13,Alaska,22.03,0.04,2
2021-02-14,Alaska,22.03,0.04,2
2021-02-15,Alaska,12.38,0.04,2
2021-02-16,Alaska,19.61,0.14,2
2021-02-17,Alaska,16.76,0.16,2
2021-02-18,Alaska,17.93,0.16,2
2021-02-19,Alaska,18.96,0.14,2
2021-02-20,Alaska,18.96,0.14,2
2021-02-21,Alaska,18.96,0.14,2
2021-02-22,Alaska,25.54,0.16,2
2021-02-23,Alaska,16.93,0.06,2
2021-02-24,Alaska,19.35,0.04,2
2021-02-25,Alaska,18.88,0.04,2
2021-02-26,Alaska,16.93,0.02,2
2021-02-27,Alaska,16.93,0.02,2
2021-02-28,Alaska,16.93,0.02,2
2021-03-01,Alaska,17.83,0.2,2
2021-03-02,Alaska,19.76,0.21,2
2021-03-03,Alaska,20.0,0.23,2
2021-03-04,Alaska,19.27,0.23,2
2021-03-05,Alaska,20.0,0.25,2
2021-03-06,Alaska,20.0,0.25,2
2021-03-07,Alaska,20.0,0.25,2
2021-03-08,Alaska,19.16,0.07,2
2021-03-09,Alaska,17.89,0.05,2
2021-03-10,Alaska,17.13,0.02,2
2021-03-11,Alaska,18.88,0.02,2
2021-03-12,Alaska,18.08,0.02,2
2021-03-13,Alaska,18.08,0.02,2
2021-03-14,Alaska,18.08,0.02,2
2021-03-15,Alaska,18.83,0.02,2
2021-03-16,Alaska,19.1,0.02,2
2021-03-17,Alaska,19.53,0.04,2
2021-03-18,Alaska,17.91,0.1,2
2021-03-19,Alaska,17.32,0.08,2
2021-03-20,Alaska,17.32,0.08,2
2021-03-21,Alaska,17.32,0.08,2
2021-03-22,Alaska,16.79,0.08,2
2021-03-23,Alaska,18.26,0.12,2
2021-03-24,Alaska,18.75,0.1,2
2021-03-25,Alaska,18.59,0.06,2
2021-03-26,Alaska,20.72,0.06,2
2021-03-27,Alaska,20.72,0.06,2
2021-03-28,Alaska,20.72,0.06,2
2021-03-29,Alaska,13.86,0.06,2
2021-03-30,Alaska,23.1,0.02,2
2021-03-31,Alaska,22.42,0.02,2
2021-04-01,Alaska,23.96,0.0,2
2021-04-02,Alaska,24.27,0.0,2
2021-04-03,Alaska,24.27,0.0,2
2021-04-04,Alaska,24.27,0.0,2
2021-04-05,Alaska,34.02,0.0,2
2021-04-06,Alaska,22.87,0.0,2
2021-04-07,Alaska,23.94,0.0,2
2021-04-08,Alaska,23.98,0.0,2
2021-04-09,Alaska,24.84,0.0,2
2021-04-10,Alaska,24.84,0.0,2
2021-04-11,Alaska,24.84,0.0,2
2021-04-12,Alaska,22.83,0.02,2
2021-04-13,Alaska,24.27,0.02,2
2021-04-14,Alaska,23.88,0.02,2
2021-04-15,Alaska,23.2,0.02,2
2021-04-16,Alaska,22.09,0.02,2
2021-04-17,Alaska,22.09,0.02,2
2021-04-18,Alaska,22.09,0.02,2
2021-04-19,Alaska,23.04,0.0,2
2021-04-20,Alaska,22.16,0.0,2
2021-04-21,Alaska,22.14,0.0,2
2021-04-22,Alaska,22.83,0.0,2
2021-04-23,Alaska,22.03,0.0,2
2021-04-24,Alaska,22.03,0.0,2
2021-04-25,Alaska,22.03,0.0,2
2021-04-26,Alaska,22.11,0.23,2
2021-04-27,Alaska,22.65,0.23,2
2021-04-28,Alaska,22.42,0.23,2
2021-04-29,Alaska,21.25,0.23,2
2021-04-30,Alaska,21.09,0.23,2
2021-05-01,Alaska,21.09,0.23,2
2021-05-02,Alaska,21.09,0.23,2
2021-05-03,Alaska,17.67,0.02,2
2021-05-04,Alaska,16.79,0.02,2
2021-05-05,Alaska,16.05,0.02,2
2021-05-06,Alaska,14.65,0.04,2
2021-05-07,Alaska,14.18,0.04,2
2021-05-08,Alaska,14.18,0.04,2
2021-05-09,Alaska,14.18,0.04,2
2021-05-10,Alaska,13.42,0.02,2
2021-05-11,Alaska,12.75,0.06,2
2021-05-12,Alaska,11.58,0.1,2
2021-05-13,Alaska,11.27,0.08,2
2021-05-14,Alaska,11.19,0.08,2
2021-05-15,Alaska,11.19,0.08,2
2021-05-16,Alaska,11.19,0.08,2
2021-05-17,Alaska,9.24,0.29,2
2021-05-18,Alaska,9.2,0.33,2
2021-05-19,Alaska,9.39,0.31,2
2021-05-20,Alaska,9.33,0.31,2
2021-05-21,Alaska,8.44,0.31,2
2021-05-22,Alaska,8.44,0.31,2
2021-05-23,Alaska,8.44,0.31,2
2021-05-24,Alaska,7.66,0.1,2
2021-05-25,Alaska,7.58,0.02,2
2021-05-26,Alaska,6.95,0.0,2
2021-05-27,Alaska,6.25,0.0,2
2021-05-28,Alaska,5.82,0.0,2
2021-05-29,Alaska,5.82,0.0,2
2021-05-30,Alaska,5.82,0.0,2
2021-05-31,Alaska,3.96,0.0,2
2021-06-01,Alaska,5.1,0.0,2
2021-06-02,Alaska,4.51,0.0,2
2021-06-03,Alaska,4.75,0.0,2
2021-06-04,Alaska,5.06,0.0,2
2021-06-05,Alaska,5.06,0.0,2
2021-06-06,Alaska,5.06,0.0,2
2021-06-07,Alaska,6.05,0.0,2
2021-06-08,Alaska,3.91,0.0,2
2021-06-09,Alaska,4.51,0.0,2
2021-06-10,Alaska,3.48,0.0,2
2021-06-11,Alaska,3.5,0.08,2
2021-06-12,Alaska,3.5,0.08,2
2021-06-13,Alaska,3.5,0.08,2
2021-06-14,Alaska,3.81,0.08,2
2021-06-15,Alaska,3.81,0.08,2
2021-06-16,Alaska,3.5,0.08,2
2021-06-17,Alaska,3.5,0.08,2
2021-06-18,Alaska,4.3,0.0,2
2021-06-19,Alaska,4.3,0.0,2
2021-06-20,Alaska,4.3,0.0,2
2021-06-21,Alaska,4.69,0.0,2
2021-06-22,Alaska,4.69,0.0,2
2021-06-23,Alaska,5.08,0.02,2
2021-06-24,Alaska,5.08,0.02,2
2021-06-25,Alaska,3.91,0.02,2
2021-06-26,Alaska,3.91,0.02,2
2021-06-27,Alaska,3.91,0.02,2
2021-06-28,Alaska,4.08,0.02,2
2021-06-29,Alaska,4.08,0.02,2
2021-06-30,Alaska,4.41,0.06,2
2021-07-01,Alaska,4.41,0.06,2
2021-07-02,Alaska,5.64,0.06,2
2021-07-03,Alaska,5.64,0.06,2
2021-07-04,Alaska,5.64,0.06,2
2021-07-05,Alaska,3.77,0.06,2
2021-07-06,Alaska,3.77,0.06,2
2021-07-07,Alaska,6.19,0.0,2
2021-07-08,Alaska,6.19,0.0,2
2021-07-09,Alaska,6.72,0.04,2
2021-07-10,Alaska,6.72,0.04,2
2021-07-11,Alaska,6.72,0.04,2
2021-07-12,Alaska,10.1,0.08,2
2021-07-13,Alaska,10.1,0.08,2
2021-07-14,Alaska,10.8,0.08,2
2021-07-15,Alaska,10.8,0.08,2
2021-07-16,Alaska,13.83,0.04,2
2021-07-17,Alaska,13.83,0.04,2
