state,state_po,state_fips,candidatevotes,totalvotes,party_simplified,fractionalvotes
ALABAMA,AL,1,1441170,2323282,REPUBLICAN,0.620316431668648
ALASKA,AK,2,189951,359530,REPUBLICAN,0.5283314327038078
ARIZONA,AZ,4,1672143,3387326,DEMOCRAT,0.49364690614366613
ARKANSAS,AR,5,760647,1219069,REPUBLICAN,0.6239572985614432
CALIFORNIA,CA,6,11110250,17500881,DEMOCRAT,0.6348394689387351
COLORADO,CO,8,1804352,3279980,DEMOCRAT,0.5501106714065329
CONNECTICUT,CT,9,1080831,1823857,DEMOCRAT,0.5926073151568352
DELAWARE,DE,10,296268,504346,DEMOCRAT,0.5874300579364167
DISTRICT OF COLUMBIA,DC,11,317323,344356,DEMOCRAT,0.9214969392140692
FLORIDA,FL,12,5668731,11067456,REPUBLICAN,0.5121981962250404
GEORGIA,GA,13,2473633,4999960,DEMOCRAT,0.49473055784446274
HAWAII,HI,15,366130,579784,DEMOCRAT,0.6314937976901742
IDAHO,ID,16,554119,868014,REPUBLICAN,0.6383756483190364
ILLINOIS,IL,17,3471915,6033743,DEMOCRAT,0.5754164537667581
INDIANA,IN,18,1729519,3033118,REPUBLICAN,0.5702115776570512
IOWA,IA,19,897672,1700130,REPUBLICAN,0.5280019763194579
KANSAS,KS,20,771406,1372303,REPUBLICAN,0.5621251283426474
KENTUCKY,KY,21,1326646,2136768,REPUBLICAN,0.6208657186929044
LOUISIANA,LA,22,1255776,2148062,REPUBLICAN,0.5846088241400853
MAINE,ME,23,435072,828305,DEMOCRAT,0.5252557934577239
MARYLAND,MD,24,1985023,3037030,DEMOCRAT,0.6536066486007711
MASSACHUSETTS,MA,25,2382202,3658005,DEMOCRAT,0.6512298370286536
MICHIGAN,MI,26,2804040,5539302,DEMOCRAT,0.5062081829082437
MINNESOTA,MN,27,1717077,3277171,DEMOCRAT,0.5239509930974001
MISSISSIPPI,MS,28,756764,1313759,REPUBLICAN,0.5760295457538255
MISSOURI,MO,29,1718736,3025962,REPUBLICAN,0.5679965577888949
MONTANA,MT,30,343602,603674,REPUBLICAN,0.5691846924002028
NEBRASKA,NE,31,556846,956383,REPUBLICAN,0.5822416333205421
NEVADA,NV,32,703486,1405376,DEMOCRAT,0.5005678195728402
NEW HAMPSHIRE,NH,33,424921,806182,DEMOCRAT,0.5270782528014766
NEW JERSEY,NJ,34,2608335,4549353,DEMOCRAT,0.5733419675281298
NEW MEXICO,NM,35,501614,923965,DEMOCRAT,0.5428928584957222
NEW YORK,NY,36,5230985,8661735,DEMOCRAT,0.603918845358349
NORTH CAROLINA,NC,37,2758773,5524802,REPUBLICAN,0.4993433248829551
NORTH DAKOTA,ND,38,235595,361819,REPUBLICAN,0.6511404873707572
OHIO,OH,39,3154834,5922202,REPUBLICAN,0.5327130010087464
OKLAHOMA,OK,40,1020280,1560699,REPUBLICAN,0.6537327184806295
OREGON,OR,41,1340383,2374321,DEMOCRAT,0.5645331865404888
PENNSYLVANIA,PA,42,3458229,6915283,DEMOCRAT,0.5000849567544814
RHODE ISLAND,RI,44,307486,516990,DEMOCRAT,0.5947619876593357
SOUTH CAROLINA,SC,45,1385103,2514096,REPUBLICAN,0.5509348091719648
SOUTH DAKOTA,SD,46,261043,422609,REPUBLICAN,0.6176938967225024
TENNESSEE,TN,47,1852475,3053851,REPUBLICAN,0.6066029416628381
TEXAS,TX,48,5890347,11315056,REPUBLICAN,0.5205760360355265
UTAH,UT,49,865140,1488289,REPUBLICAN,0.5812983902991959
VERMONT,VT,50,242820,370968,DEMOCRAT,0.6545578055250049
VIRGINIA,VA,51,2413568,4460524,DEMOCRAT,0.5410951717780242
WASHINGTON,WA,53,2369612,4087631,DEMOCRAT,0.5797030113530306
WEST VIRGINIA,WV,54,545382,794652,REPUBLICAN,0.6863155192461606
WISCONSIN,WI,55,1630866,3298041,DEMOCRAT,0.4944953686142774
WYOMING,WY,56,193559,278503,REPUBLICAN,0.6949978994840271
