date,location,mmwr_week,administered_dose1_recip,Percent with one dose,STATEFP,STNAME,POPESTIMATE2020,day_num,vacc_rank
2021-02-13,WI,6,689668,11.8,55,Wisconsin,5832655,0,
2021-02-14,WI,7,710073,12.2,55,Wisconsin,5832655,1,
2021-02-15,WI,7,728757,12.5,55,Wisconsin,5832655,2,
2021-02-16,WI,7,737272,12.7,55,Wisconsin,5832655,3,
2021-02-17,WI,7,748766,12.9,55,Wisconsin,5832655,4,
2021-02-18,WI,7,762656,13.1,55,Wisconsin,5832655,5,
2021-02-19,WI,7,821793,14.1,55,Wisconsin,5832655,6,
2021-02-20,WI,7,844350,14.5,55,Wisconsin,5832655,7,
2021-02-21,WI,8,860661,14.8,55,Wisconsin,5832655,8,
2021-02-22,WI,8,869308,14.9,55,Wisconsin,5832655,9,
2021-02-23,WI,8,872043,15.0,55,Wisconsin,5832655,10,
2021-02-24,WI,8,880148,15.1,55,Wisconsin,5832655,11,
2021-02-25,WI,8,891185,15.3,55,Wisconsin,5832655,12,
2021-02-26,WI,8,909389,15.6,55,Wisconsin,5832655,13,
2021-02-27,WI,8,937388,16.1,55,Wisconsin,5832655,14,
2021-02-28,WI,9,958333,16.5,55,Wisconsin,5832655,15,
2021-03-01,WI,9,971107,16.7,55,Wisconsin,5832655,16,
2021-03-02,WI,9,984053,16.9,55,Wisconsin,5832655,17,
2021-03-03,WI,9,1001656,17.2,55,Wisconsin,5832655,18,
2021-03-04,WI,9,1024560,17.6,55,Wisconsin,5832655,19,
2021-03-05,WI,9,1059657,18.2,55,Wisconsin,5832655,20,
2021-03-06,WI,9,1098730,18.9,55,Wisconsin,5832655,21,
2021-03-07,WI,10,1128307,19.4,55,Wisconsin,5832655,22,
2021-03-08,WI,10,1150440,19.8,55,Wisconsin,5832655,23,
2021-03-09,WI,10,1155268,19.8,55,Wisconsin,5832655,24,
2021-03-10,WI,10,1171932,20.1,55,Wisconsin,5832655,25,
2021-03-11,WI,10,1199903,20.6,55,Wisconsin,5832655,26,
2021-03-12,WI,10,1240451,21.3,55,Wisconsin,5832655,27,
2021-03-13,WI,10,1323842,22.7,55,Wisconsin,5832655,28,
2021-03-14,WI,11,1324859,22.8,55,Wisconsin,5832655,29,
2021-03-15,WI,11,1346547,23.1,55,Wisconsin,5832655,30,
2021-03-16,WI,11,1356659,23.3,55,Wisconsin,5832655,31,
2021-03-17,WI,11,1373417,23.6,55,Wisconsin,5832655,32,
2021-03-18,WI,11,1405196,24.1,55,Wisconsin,5832655,33,
2021-03-19,WI,11,1441789,24.8,55,Wisconsin,5832655,34,
2021-03-20,WI,11,1488169,25.6,55,Wisconsin,5832655,35,
2021-03-21,WI,12,1542799,26.5,55,Wisconsin,5832655,36,
2021-03-22,WI,12,1570598,27.0,55,Wisconsin,5832655,37,
2021-03-23,WI,12,1584076,27.2,55,Wisconsin,5832655,38,
2021-03-24,WI,12,1605873,27.6,55,Wisconsin,5832655,39,
2021-03-25,WI,12,1647536,28.3,55,Wisconsin,5832655,40,
2021-03-26,WI,12,1701809,29.2,55,Wisconsin,5832655,41,
2021-03-27,WI,12,1752800,30.1,55,Wisconsin,5832655,42,
2021-03-28,WI,13,1794367,30.8,55,Wisconsin,5832655,43,
2021-03-29,WI,13,1819527,31.3,55,Wisconsin,5832655,44,
2021-03-30,WI,13,1829412,31.4,55,Wisconsin,5832655,45,
2021-03-31,WI,13,1850625,31.8,55,Wisconsin,5832655,46,
2021-04-01,WI,13,1890610,32.5,55,Wisconsin,5832655,47,
2021-04-02,WI,13,1938854,33.3,55,Wisconsin,5832655,48,
2021-04-03,WI,13,1990383,34.2,55,Wisconsin,5832655,49,
2021-04-04,WI,14,2031543,34.9,55,Wisconsin,5832655,50,
2021-04-05,WI,14,2054787,35.3,55,Wisconsin,5832655,51,
2021-04-06,WI,14,2057082,35.3,55,Wisconsin,5832655,52,
2021-04-07,WI,14,2079944,35.7,55,Wisconsin,5832655,53,
2021-04-08,WI,14,2124005,36.5,55,Wisconsin,5832655,54,
