month,unemployment_rate,COUNTYFP,month_since_start,party
2021-06,3.1,1001,19,REPUBLICAN
2021-05,2.3,1001,18,REPUBLICAN
2021-04,2.4,1001,17,REPUBLICAN
2021-03,2.9,1001,16,REPUBLICAN
2021-02,3.1,1001,15,REPUBLICAN
2021-01,3.3,1001,14,REPUBLICAN
2020-12,2.9,1001,13,REPUBLICAN
2020-11,3.1,1001,12,REPUBLICAN
2020-10,3.4,1001,11,REPUBLICAN
2020-09,5.5,1001,10,REPUBLICAN
2020-08,5.8,1001,9,REPUBLICAN
2020-07,6.3,1001,8,REPUBLICAN
2020-06,6.5,1001,7,REPUBLICAN
2020-05,6.4,1001,6,REPUBLICAN
2020-04,10.9,1001,5,REPUBLICAN
2020-03,2.5,1001,4,REPUBLICAN
2020-02,2.6,1001,3,REPUBLICAN
2020-01,2.9,1001,2,REPUBLICAN
2019-12,2.2,1001,1,REPUBLICAN
2021-07,2.7,1003,20,REPUBLICAN
2021-06,3.0,1003,19,REPUBLICAN
2021-05,2.4,1003,18,REPUBLICAN
2021-04,2.5,1003,17,REPUBLICAN
2021-03,3.0,1003,16,REPUBLICAN
2021-02,3.3,1003,15,REPUBLICAN
2021-01,3.5,1003,14,REPUBLICAN
2020-12,3.1,1003,13,REPUBLICAN
2020-11,3.4,1003,12,REPUBLICAN
2020-10,3.9,1003,11,REPUBLICAN
2020-09,5.9,1003,10,REPUBLICAN
2020-08,6.4,1003,9,REPUBLICAN
2020-07,7.1,1003,8,REPUBLICAN
2020-06,7.3,1003,7,REPUBLICAN
2020-05,7.6,1003,6,REPUBLICAN
2020-04,14.5,1003,5,REPUBLICAN
2020-03,2.5,1003,4,REPUBLICAN
2020-02,2.5,1003,3,REPUBLICAN
2020-01,3.0,1003,2,REPUBLICAN
2019-12,2.3,1003,1,REPUBLICAN
2021-07,6.3,1005,20,REPUBLICAN
2021-06,6.6,1005,19,REPUBLICAN
2021-05,4.6,1005,18,REPUBLICAN
2021-04,4.8,1005,17,REPUBLICAN
2021-03,5.6,1005,16,REPUBLICAN
2021-02,6.2,1005,15,REPUBLICAN
2021-01,6.7,1005,14,REPUBLICAN
2020-12,5.7,1005,13,REPUBLICAN
2020-11,6.0,1005,12,REPUBLICAN
2020-10,6.9,1005,11,REPUBLICAN
2020-09,10.1,1005,10,REPUBLICAN
2020-08,9.9,1005,9,REPUBLICAN
2020-07,9.8,1005,8,REPUBLICAN
2020-06,9.1,1005,7,REPUBLICAN
2020-05,7.2,1005,6,REPUBLICAN
2020-04,9.3,1005,5,REPUBLICAN
2020-03,3.4,1005,4,REPUBLICAN
2020-02,3.3,1005,3,REPUBLICAN
2020-01,3.7,1005,2,REPUBLICAN
2019-12,3.1,1005,1,REPUBLICAN
2021-07,3.4,1007,20,REPUBLICAN
2021-06,3.8,1007,19,REPUBLICAN
2021-05,3.1,1007,18,REPUBLICAN
2021-04,3.0,1007,17,REPUBLICAN
2021-03,3.4,1007,16,REPUBLICAN
2021-02,3.6,1007,15,REPUBLICAN
2021-01,4.1,1007,14,REPUBLICAN
2020-12,3.8,1007,13,REPUBLICAN
2020-11,4.1,1007,12,REPUBLICAN
2020-10,4.5,1007,11,REPUBLICAN
2020-09,7.0,1007,10,REPUBLICAN
2020-08,7.9,1007,9,REPUBLICAN
2020-07,8.3,1007,8,REPUBLICAN
2020-06,8.6,1007,7,REPUBLICAN
2020-05,8.9,1007,6,REPUBLICAN
2020-04,17.1,1007,5,REPUBLICAN
2020-03,2.9,1007,4,REPUBLICAN
2020-02,2.9,1007,3,REPUBLICAN
2020-01,3.2,1007,2,REPUBLICAN
2019-12,2.4,1007,1,REPUBLICAN
2021-07,2.2,1009,20,REPUBLICAN
2021-06,2.5,1009,19,REPUBLICAN
2021-05,1.9,1009,18,REPUBLICAN
2021-04,2.2,1009,17,REPUBLICAN
2021-03,2.4,1009,16,REPUBLICAN
2021-02,2.2,1009,15,REPUBLICAN
2021-01,2.4,1009,14,REPUBLICAN
2020-12,2.2,1009,13,REPUBLICAN
2020-11,2.4,1009,12,REPUBLICAN
2020-10,2.6,1009,11,REPUBLICAN
2020-09,4.3,1009,10,REPUBLICAN
2020-08,4.7,1009,9,REPUBLICAN
2020-07,5.3,1009,8,REPUBLICAN
2020-06,5.7,1009,7,REPUBLICAN
2020-05,5.3,1009,6,REPUBLICAN
2020-04,9.1,1009,5,REPUBLICAN
2020-03,2.5,1009,4,REPUBLICAN
2020-02,2.4,1009,3,REPUBLICAN
2020-01,2.9,1009,2,REPUBLICAN
2019-12,2.2,1009,1,REPUBLICAN
2021-07,3.7,1011,20,DEMOCRAT
2021-06,3.9,1011,19,DEMOCRAT
2021-05,3.3,1011,18,DEMOCRAT
2021-04,3.5,1011,17,DEMOCRAT
2021-03,4.0,1011,16,DEMOCRAT
2021-02,4.4,1011,15,DEMOCRAT
2021-01,4.7,1011,14,DEMOCRAT
2020-12,4.2,1011,13,DEMOCRAT
2020-11,4.4,1011,12,DEMOCRAT
2020-10,5.0,1011,11,DEMOCRAT
2020-09,7.0,1011,10,DEMOCRAT
2020-08,7.4,1011,9,DEMOCRAT
2020-07,7.4,1011,8,DEMOCRAT
2020-06,6.6,1011,7,DEMOCRAT
2020-05,5.6,1011,6,DEMOCRAT
2020-04,8.2,1011,5,DEMOCRAT
2020-03,3.1,1011,4,DEMOCRAT
2020-02,3.1,1011,3,DEMOCRAT
2020-01,4.0,1011,2,DEMOCRAT
2019-12,3.5,1011,1,DEMOCRAT
2021-07,5.5,1013,20,REPUBLICAN
2021-06,5.5,1013,19,REPUBLICAN
2021-05,4.4,1013,18,REPUBLICAN
2021-04,4.4,1013,17,REPUBLICAN
2021-03,5.3,1013,16,REPUBLICAN
2021-02,6.3,1013,15,REPUBLICAN
2021-01,6.6,1013,14,REPUBLICAN
