COUNTYFP,deaths_avg_per_100k,state,state_po,CTYNAME,party_winner_2020,totalvotes_2020,fractionalvotes_2020,party_winner_2016,totalvotes_2016,fractionalvotes_2016,changecolor,_merge,pct_increase,segmentname
51595,2.0547985347985316,VIRGINIA,VA,EMPORIA CITY,DEMOCRAT,2384.0,0.6761744966442953,DEMOCRAT,2367.0,0.6463878326996197,#030D97,both,2.978666394467555,Stayed Democrat
51640,1.9757500000000001,VIRGINIA,VA,GALAX CITY,REPUBLICAN,2639.0,0.6964759378552482,REPUBLICAN,2376.0,0.6746632996632996,#970D03,both,2.1812638191948563,Stayed Republican
20137,1.8597142857142865,KANSAS,KS,NORTON,REPUBLICAN,2415.0,0.831055900621118,REPUBLICAN,2234.0,0.8236347358997315,#970D03,both,0.7421164721386542,Stayed Republican
38069,1.840522648083624,NORTH DAKOTA,ND,PIERCE,REPUBLICAN,2128.0,0.7448308270676691,REPUBLICAN,2071.0,0.6938676967648479,#970D03,both,5.0963130302821185,Stayed Republican
48105,1.5667619047619057,TEXAS,TX,CROCKETT,REPUBLICAN,1574.0,0.7750952986022872,REPUBLICAN,1395.0,0.7025089605734767,#970D03,both,7.258633802881054,Stayed Republican
30085,1.5498611111111116,MONTANA,MT,ROOSEVELT,REPUBLICAN,4017.0,0.49688822504356484,REPUBLICAN,3652.0,0.4920591456736035,#970D03,both,0.4829079369961353,Stayed Republican
48047,1.505078740157478,TEXAS,TX,BROOKS,DEMOCRAT,2484.0,0.5917874396135265,DEMOCRAT,2596.0,0.7461479198767335,#030D97,both,-15.436048026320693,Stayed Democrat
20167,1.4167428571428564,KANSAS,KS,RUSSELL,REPUBLICAN,3467.0,0.8047303143928468,REPUBLICAN,3193.0,0.8061384278108362,#970D03,both,-0.14081134179894095,Stayed Republican
30021,1.399589743589743,MONTANA,MT,DAWSON,REPUBLICAN,4825.0,0.778860103626943,REPUBLICAN,4374.0,0.7590306355738454,#970D03,both,1.9829468053097599,Stayed Republican
19063,1.3396995708154522,IOWA,IA,EMMET,REPUBLICAN,4853.0,0.6733978982072945,REPUBLICAN,4753.0,0.657269093204292,#970D03,both,1.61288050030024,Stayed Republican
48189,1.330886524822695,TEXAS,TX,HALE,REPUBLICAN,9586.0,0.748696015021907,REPUBLICAN,8858.0,0.7186723865432377,#970D03,both,3.002362847866924,Stayed Republican
38093,1.2615671641791042,NORTH DAKOTA,ND,STUTSMAN,REPUBLICAN,9959.0,0.7022793453157947,REPUBLICAN,10155.0,0.6615460364352536,#970D03,both,4.073330888054116,Stayed Republican
48115,1.2469424460431664,TEXAS,TX,DAWSON,REPUBLICAN,3789.0,0.7788334652942729,REPUBLICAN,3563.0,0.7398259893348302,#970D03,both,3.900747595944265,Stayed Republican
35051,1.2378947368421052,NEW MEXICO,NM,SIERRA,REPUBLICAN,5945.0,0.5957947855340623,REPUBLICAN,5181.0,0.5809689249179695,#970D03,both,1.4825860616092812,Stayed Republican
48103,1.2309375000000005,TEXAS,TX,CRANE,REPUBLICAN,1503.0,0.8296739853626082,REPUBLICAN,1384.0,0.7579479768786127,#970D03,both,7.172600848399546,Stayed Republican
28083,1.2097619047619,MISSISSIPPI,MS,LEFLORE,DEMOCRAT,10893.0,0.7021022675112457,DEMOCRAT,11140.0,0.6990125673249551,#030D97,both,0.30897001862906226,Stayed Democrat
48219,1.1777003484320558,TEXAS,TX,HOCKLEY,REPUBLICAN,8100.0,0.8069135802469136,REPUBLICAN,7311.0,0.7945561482697305,#970D03,both,1.2357431977183087,Stayed Republican
48323,1.1510638297872369,TEXAS,TX,MAVERICK,DEMOCRAT,15346.0,0.5429427863938485,DEMOCRAT,13588.0,0.7651604356785399,#030D97,both,-22.221764928469135,Stayed Democrat
48117,1.1419930069930084,TEXAS,TX,DEAF SMITH,REPUBLICAN,4610.0,0.7145336225596529,REPUBLICAN,4216.0,0.6904648956356736,#970D03,both,2.4068726923979322,Stayed Republican
17053,1.1377898550724639,ILLINOIS,IL,FORD,REPUBLICAN,6953.0,0.7260175463828563,REPUBLICAN,6396.0,0.7004377736085053,#970D03,both,2.5579772774350973,Stayed Republican
20171,1.1339776951672862,KANSAS,KS,SCOTT,REPUBLICAN,2354.0,0.8555649957519117,REPUBLICAN,2202.0,0.8469573115349682,#970D03,both,0.8607684216943468,Stayed Republican
48169,1.1213008130081303,TEXAS,TX,GARZA,REPUBLICAN,1653.0,0.8548094373865699,REPUBLICAN,1484.0,0.8254716981132075,#970D03,both,2.933773927336236,Stayed Republican
13287,1.0956445993031358,GEORGIA,GA,TURNER,REPUBLICAN,3792.0,0.6194620253164557,REPUBLICAN,3398.0,0.6165391406709829,#970D03,both,0.29228846454727453,Stayed Republican
48445,1.0946808510638293,TEXAS,TX,TERRY,REPUBLICAN,3612.0,0.778516057585825,REPUBLICAN,3355.0,0.7329359165424739,#970D03,both,4.558014104335106,Stayed Republican
48427,1.0805000000000042,TEXAS,TX,STARR,DEMOCRAT,17525.0,0.5205706134094151,DEMOCRAT,11740.0,0.7912265758091993,#030D97,both,-27.06559623997842,Stayed Democrat
48465,1.0669039145907477,TEXAS,TX,VAL VERDE,REPUBLICAN,15280.0,0.5421465968586388,DEMOCRAT,13617.0,0.5114195490930454,#AB5A68,both,3.072704776559332,To Republican
13293,1.0482857142857143,GEORGIA,GA,UPSON,REPUBLICAN,12905.0,0.6670282836110035,REPUBLICAN,10934.0,0.6669105542344979,#970D03,both,0.011772937650567084,Stayed Republican
26043,1.0423722627737217,MICHIGAN,MI,DICKINSON,REPUBLICAN,14589.0,0.6591952841181712,REPUBLICAN,13165.0,0.6517280668439043,#970D03,both,0.7467217274266913,Stayed Republican
31043,1.0261742424242435,NEBRASKA,NE,DAKOTA,REPUBLICAN,6794.0,0.5778628201354136,REPUBLICAN,6279.0,0.5758878802357064,#970D03,both,0.19749398997072065,Stayed Republican
29079,1.0240807174887896,MISSOURI,MO,GRUNDY,REPUBLICAN,4437.0,0.8079783637592968,REPUBLICAN,4310.0,0.8032482598607888,#970D03,both,0.473010389850792,Stayed Republican
22095,1.0164163822525607,LOUISIANA,LA,ST. JOHN THE BAPTIST,DEMOCRAT,21432.0,0.6337252706233669,DEMOCRAT,20743.0,0.6103745841970786,#030D97,both,2.3350686426288347,Stayed Democrat
48383,1.0081735159817353,TEXAS,TX,REAGAN,REPUBLICAN,1124.0,0.8380782918149466,REPUBLICAN,904.0,0.7842920353982301,#970D03,both,5.378625641671652,Stayed Republican
8011,0.9911016949152543,COLORADO,CO,BENT,REPUBLICAN,2274.0,0.6609498680738787,REPUBLICAN,1927.0,0.6165023352361183,#970D03,both,4.444753283776038,Stayed Republican
