state_po,county_name,county_fips,candidate,party,candidatevotes,totalvotes,UrbanRural,PctRural,Infrequent,Frequent
AL,AUTAUGA,1001,DONALD J TRUMP,REPUBLICAN,19838.0,27770.0,urban,42.0021623206465,0.261,0.739
AL,BALDWIN,1003,DONALD J TRUMP,REPUBLICAN,83544.0,109679.0,urban,42.27909911392752,0.24000000000000002,0.759
AL,CALHOUN,1015,DONALD J TRUMP,REPUBLICAN,35101.0,50983.0,urban,33.69682555746719,0.39,0.609
AL,CHAMBERS,1017,DONALD J TRUMP,REPUBLICAN,8753.0,15284.0,urban,49.14803448779775,0.304,0.6960000000000001
AL,COFFEE,1031,DONALD J TRUMP,REPUBLICAN,16899.0,22275.0,urban,47.195082886201654,0.347,0.652
AL,COLBERT,1033,DONALD J TRUMP,REPUBLICAN,19203.0,27886.0,urban,43.89468655838906,0.32999999999999996,0.669
AL,DALLAS,1047,JOSEPH R BIDEN JR,DEMOCRAT,12230.0,17864.0,urban,45.638977635782744,0.354,0.646
AL,ETOWAH,1055,DONALD J TRUMP,REPUBLICAN,35528.0,47728.0,urban,37.48348175811548,0.377,0.623
AL,HOUSTON,1069,DONALD J TRUMP,REPUBLICAN,32618.0,46173.0,urban,33.80405132598698,0.29900000000000004,0.7010000000000001
AL,JEFFERSON,1073,JOSEPH R BIDEN JR,DEMOCRAT,181688.0,325848.0,urban,9.833675539734415,0.193,0.8069999999999999
AL,LAUDERDALE,1077,DONALD J TRUMP,REPUBLICAN,31721.0,44339.0,urban,49.2951061924948,0.353,0.6479999999999999
AL,LEE,1081,DONALD J TRUMP,REPUBLICAN,42221.0,71449.0,urban,27.408717228397663,0.255,0.7450000000000001
AL,MADISON,1089,DONALD J TRUMP,REPUBLICAN,102780.0,194767.0,urban,16.44151476504655,0.235,0.766
AL,MOBILE,1097,DONALD J TRUMP,REPUBLICAN,101243.0,183164.0,urban,20.019903195891516,0.249,0.75
AL,MONTGOMERY,1101,JOSEPH R BIDEN JR,DEMOCRAT,64529.0,99139.0,urban,10.491230058902264,0.274,0.725
AL,MORGAN,1103,DONALD J TRUMP,REPUBLICAN,39664.0,53722.0,urban,38.597372165034734,0.237,0.763
AL,RUSSELL,1113,JOSEPH R BIDEN JR,DEMOCRAT,11228.0,21329.0,urban,35.40899389955994,0.21600000000000003,0.7829999999999999
AL,SHELBY,1117,DONALD J TRUMP,REPUBLICAN,79700.0,114950.0,urban,22.944870184791245,0.215,0.785
AL,TUSCALOOSA,1125,DONALD J TRUMP,REPUBLICAN,51117.0,90172.0,urban,25.508075784974523,0.22099999999999997,0.779
AK,DISTRICT 20,2020,JOSEPH R BIDEN JR,DEMOCRAT,4881.0,7497.0,urban,4.117179415130934,0.14100000000000001,0.859
AZ,COCHISE,4003,DONALD J TRUMP,REPUBLICAN,25934.0,60442.0,urban,36.30106740974221,0.22499999999999998,0.7749999999999999
AZ,COCONINO,4005,JOSEPH R BIDEN JR,DEMOCRAT,39430.0,73272.0,urban,31.466065570111812,0.189,0.8119999999999999
AZ,GILA,4007,DONALD J TRUMP,REPUBLICAN,15005.0,27662.0,urban,41.06199973879135,0.11699999999999999,0.883
AZ,GRAHAM,4009,DONALD J TRUMP,REPUBLICAN,7289.0,14995.0,urban,46.437399247716286,0.399,0.6020000000000001
AZ,GREENLEE,4011,DONALD J TRUMP,REPUBLICAN,1571.0,3685.0,urban,46.5686855517364,0.367,0.633
AZ,MARICOPA,4013,JOSEPH R BIDEN JR,DEMOCRAT,978457.0,2068144.0,urban,2.363799694900628,0.107,0.892
AZ,MOHAVE,4015,DONALD J TRUMP,REPUBLICAN,56914.0,104668.0,urban,22.963643811255533,0.251,0.749
AZ,PIMA,4019,JOSEPH R BIDEN JR,DEMOCRAT,282457.0,520397.0,urban,7.523491144723406,0.12,0.88
AZ,PINAL,4021,DONALD J TRUMP,REPUBLICAN,80293.0,184974.0,urban,21.904622508449318,0.184,0.8150000000000001
AZ,SANTA CRUZ,4023,JOSEPH R BIDEN JR,DEMOCRAT,10859.0,19556.0,urban,26.88317165752847,0.088,0.9109999999999999
AZ,YAVAPAI,4025,DONALD J TRUMP,REPUBLICAN,76416.0,143221.0,urban,33.19717769258836,0.185,0.815
AZ,YUMA,4027,DONALD J TRUMP,REPUBLICAN,30226.0,69881.0,urban,10.429576349546107,0.067,0.933
AR,ARKANSAS,5001,DONALD J TRUMP,REPUBLICAN,3658.0,6292.0,urban,34.7073978652926,0.226,0.773
AR,BENTON,5007,DONALD J TRUMP,REPUBLICAN,56966.0,119912.0,urban,25.160048613213213,0.198,0.803
AR,BRADLEY,5011,DONALD J TRUMP,REPUBLICAN,1444.0,3654.0,urban,49.5915884602016,0.371,0.629
AR,CRAIGHEAD,5031,DONALD J TRUMP,REPUBLICAN,17156.0,38511.0,urban,32.16822371763632,0.339,0.661
AR,CRITTENDEN,5035,JOSEPH R BIDEN JR,DEMOCRAT,6212.0,16367.0,urban,20.887195002161015,0.186,0.8140000000000001
AR,DESHA,5041,DONALD J TRUMP,REPUBLICAN,1379.0,4164.0,urban,31.419126691266914,0.301,0.698
AR,DREW,5043,DONALD J TRUMP,REPUBLICAN,3126.0,6908.0,urban,48.60878491544654,0.319,0.682
AR,FAULKNER,5045,DONALD J TRUMP,REPUBLICAN,27934.0,54428.0,urban,38.760299195492635,0.16999999999999998,0.829
AR,GARLAND,5051,DONALD J TRUMP,REPUBLICAN,22991.0,44199.0,urban,36.903274181454634,0.195,0.8059999999999999
AR,GREENE,5055,DONALD J TRUMP,REPUBLICAN,9917.0,16100.0,urban,41.50629603231171,0.357,0.643
AR,JEFFERSON,5069,JOSEPH R BIDEN JR,DEMOCRAT,9418.0,25158.0,urban,30.916252340672823,0.25,0.75
AR,LONOKE,5085,DONALD J TRUMP,REPUBLICAN,18811.0,30662.0,urban,44.81245245479548,0.229,0.7709999999999999
AR,MILLER,5091,DONALD J TRUMP,REPUBLICAN,8789.0,16529.0,urban,40.011964474713544,0.294,0.706
AR,MISSISSIPPI,5093,DONALD J TRUMP,REPUBLICAN,5042.0,12342.0,urban,36.267211703958694,0.276,0.724
AR,PHILLIPS,5107,JOSEPH R BIDEN JR,DEMOCRAT,2376.0,6242.0,urban,47.96617180677483,0.247,0.753
AR,PULASKI,5119,JOSEPH R BIDEN JR,DEMOCRAT,67553.0,169956.0,urban,12.27674605745817,0.181,0.819
AR,SALINE,5125,DONALD J TRUMP,REPUBLICAN,30778.0,56959.0,urban,36.1601224817491,0.264,0.736
AR,SEBASTIAN,5131,DONALD J TRUMP,REPUBLICAN,22808.0,47140.0,urban,20.81212622471052,0.42000000000000004,0.58
AR,WASHINGTON,5143,DONALD J TRUMP,REPUBLICAN,31520.0,94266.0,urban,25.494792307881713,0.163,0.837
CA,ALAMEDA,6001,JOSEPH R BIDEN JR,DEMOCRAT,617659.0,770070.0,urban,0.38860575353694804,0.082,0.918
CA,BUTTE,6007,JOSEPH R BIDEN JR,DEMOCRAT,50426.0,102066.0,urban,18.901818181818182,0.16899999999999998,0.83
CA,COLUSA,6011,DONALD J TRUMP,REPUBLICAN,4559.0,7961.0,urban,31.72417012932443,0.15,0.851
CA,CONTRA COSTA,6013,JOSEPH R BIDEN JR,DEMOCRAT,416386.0,581316.0,urban,0.7927361121040967,0.07300000000000001,0.927
CA,DEL NORTE,6015,DONALD J TRUMP,REPUBLICAN,6461.0,11453.0,urban,33.67354072002796,0.257,0.7430000000000001
CA,EL DORADO,6017,DONALD J TRUMP,REPUBLICAN,61838.0,116159.0,urban,34.6999304090402,0.14200000000000002,0.8580000000000001
CA,FRESNO,6019,JOSEPH R BIDEN JR,DEMOCRAT,193025.0,364917.0,urban,10.805201784082971,0.102,0.897
CA,GLENN,6021,DONALD J TRUMP,REPUBLICAN,7063.0,11297.0,urban,40.87191522651305,0.19999999999999998,0.7999999999999999
CA,HUMBOLDT,6023,JOSEPH R BIDEN JR,DEMOCRAT,44768.0,68843.0,urban,29.75865936727008,0.066,0.9339999999999999
CA,IMPERIAL,6025,JOSEPH R BIDEN JR,DEMOCRAT,34678.0,56743.0,urban,17.417835533553355,0.036,0.964
CA,INYO,6027,JOSEPH R BIDEN JR,DEMOCRAT,4634.0,9484.0,urban,46.43049714224091,0.052,0.9470000000000001
CA,KERN,6029,DONALD J TRUMP,REPUBLICAN,164484.0,305292.0,urban,10.20603098265786,0.155,0.845
CA,KINGS,6031,DONALD J TRUMP,REPUBLICAN,24072.0,43861.0,urban,10.85160345661581,0.14,0.86
CA,LAKE,6033,JOSEPH R BIDEN JR,DEMOCRAT,14941.0,28812.0,urban,33.10600788680121,0.014,0.985
CA,LOS ANGELES,6037,JOSEPH R BIDEN JR,DEMOCRAT,3028885.0,4264365.0,urban,0.6052183584124221,0.083,0.917
CA,MADERA,6039,DONALD J TRUMP,REPUBLICAN,29378.0,53732.0,urban,32.924800318165246,0.126,0.875
CA,MARIN,6041,JOSEPH R BIDEN JR,DEMOCRAT,128288.0,155830.0,urban,6.519973535016581,0.056999999999999995,0.9430000000000001
CA,MENDOCINO,6045,JOSEPH R BIDEN JR,DEMOCRAT,28782.0,43340.0,urban,45.23058708348038,0.009000000000000001,0.992
