date,changecolor,cases_avg_per_100k,segmentname
2020-01-21,#030D97,0.02,Stayed Democrat
2020-01-22,#030D97,0.02,Stayed Democrat
2020-01-23,#030D97,0.02,Stayed Democrat
2020-01-24,#030D97,0.01,Stayed Democrat
2020-01-25,#030D97,0.006666666666666667,Stayed Democrat
2020-01-26,#030D97,0.005,Stayed Democrat
2020-01-26,#11A3D6,0.0,To Democrat
2020-01-27,#030D97,0.005,Stayed Democrat
2020-01-27,#11A3D6,0.0,To Democrat
2020-01-28,#030D97,0.0,Stayed Democrat
2020-01-28,#11A3D6,0.0,To Democrat
2020-01-29,#030D97,0.0,Stayed Democrat
2020-01-29,#11A3D6,0.0,To Democrat
2020-01-30,#030D97,0.0025,Stayed Democrat
2020-01-30,#11A3D6,0.0,To Democrat
2020-01-31,#030D97,0.002,Stayed Democrat
2020-01-31,#11A3D6,0.0,To Democrat
2020-02-01,#030D97,0.005,Stayed Democrat
2020-02-01,#11A3D6,0.0,To Democrat
2020-02-02,#030D97,0.008571428571428572,Stayed Democrat
2020-02-02,#11A3D6,0.0,To Democrat
2020-02-03,#030D97,0.008571428571428572,Stayed Democrat
2020-02-03,#11A3D6,0.0,To Democrat
2020-02-04,#030D97,0.008571428571428572,Stayed Democrat
2020-02-04,#11A3D6,0.0,To Democrat
2020-02-05,#030D97,0.01125,Stayed Democrat
2020-02-05,#11A3D6,0.0,To Democrat
2020-02-06,#030D97,0.01125,Stayed Democrat
2020-02-06,#11A3D6,0.0,To Democrat
2020-02-07,#030D97,0.01125,Stayed Democrat
2020-02-07,#11A3D6,0.0,To Democrat
2020-02-08,#030D97,0.00875,Stayed Democrat
2020-02-08,#11A3D6,0.0,To Democrat
2020-02-09,#030D97,0.00375,Stayed Democrat
2020-02-09,#11A3D6,0.0,To Democrat
2020-02-10,#030D97,0.003333333333333333,Stayed Democrat
2020-02-10,#11A3D6,0.0,To Democrat
2020-02-11,#030D97,0.003333333333333333,Stayed Democrat
2020-02-11,#11A3D6,0.0,To Democrat
2020-02-12,#030D97,0.001,Stayed Democrat
2020-02-12,#11A3D6,0.0,To Democrat
2020-02-13,#030D97,0.001,Stayed Democrat
2020-02-13,#11A3D6,0.0,To Democrat
2020-02-14,#030D97,0.001,Stayed Democrat
2020-02-14,#11A3D6,0.0,To Democrat
2020-02-15,#030D97,0.001,Stayed Democrat
2020-02-15,#11A3D6,0.0,To Democrat
2020-02-16,#030D97,0.001,Stayed Democrat
2020-02-16,#11A3D6,0.0,To Democrat
2020-02-17,#030D97,0.023636363636363636,Stayed Democrat
2020-02-17,#11A3D6,0.0,To Democrat
2020-02-18,#030D97,0.023636363636363636,Stayed Democrat
2020-02-18,#11A3D6,0.0,To Democrat
2020-02-19,#030D97,0.023636363636363636,Stayed Democrat
2020-02-19,#11A3D6,0.0,To Democrat
2020-02-20,#030D97,0.0325,Stayed Democrat
2020-02-20,#11A3D6,0.0,To Democrat
2020-02-21,#030D97,0.03153846153846154,Stayed Democrat
2020-02-21,#11A3D6,0.0,To Democrat
2020-02-22,#030D97,0.03153846153846154,Stayed Democrat
2020-02-22,#11A3D6,0.0,To Democrat
2020-02-23,#030D97,0.03153846153846154,Stayed Democrat
2020-02-23,#11A3D6,0.0,To Democrat
2020-02-24,#030D97,0.019999999999999997,Stayed Democrat
2020-02-24,#11A3D6,0.0,To Democrat
2020-02-24,#970D03,0.11,Stayed Republican
2020-02-25,#030D97,0.021333333333333333,Stayed Democrat
2020-02-25,#11A3D6,0.0,To Democrat
2020-02-25,#970D03,0.11,Stayed Republican
2020-02-26,#030D97,0.04722222222222223,Stayed Democrat
2020-02-26,#11A3D6,0.0,To Democrat
2020-02-26,#970D03,0.11,Stayed Republican
2020-02-27,#030D97,0.03944444444444444,Stayed Democrat
2020-02-27,#11A3D6,0.0,To Democrat
2020-02-27,#970D03,0.11,Stayed Republican
2020-02-28,#030D97,0.037500000000000006,Stayed Democrat
2020-02-28,#11A3D6,0.0,To Democrat
2020-02-28,#970D03,0.11,Stayed Republican
2020-02-29,#030D97,0.038500000000000006,Stayed Democrat
2020-02-29,#11A3D6,0.0,To Democrat
2020-02-29,#970D03,0.11,Stayed Republican
2020-03-01,#030D97,0.041818181818181824,Stayed Democrat
2020-03-01,#11A3D6,0.0,To Democrat
2020-03-01,#970D03,0.075,Stayed Republican
2020-03-02,#030D97,0.0388,Stayed Democrat
2020-03-02,#11A3D6,0.0,To Democrat
2020-03-02,#970D03,0.08,Stayed Republican
2020-03-03,#030D97,0.04000000000000001,Stayed Democrat
2020-03-03,#11A3D6,0.0,To Democrat
2020-03-03,#970D03,0.0875,Stayed Republican
2020-03-04,#030D97,0.030000000000000006,Stayed Democrat
2020-03-04,#11A3D6,0.0,To Democrat
2020-03-04,#970D03,0.10800000000000001,Stayed Republican
2020-03-05,#030D97,0.04081081081081082,Stayed Democrat
2020-03-05,#11A3D6,0.0,To Democrat
2020-03-05,#970D03,0.09,Stayed Republican
2020-03-06,#030D97,0.05372549019607844,Stayed Democrat
2020-03-06,#11A3D6,0.0,To Democrat
2020-03-06,#970D03,0.08,Stayed Republican
2020-03-07,#030D97,0.06666666666666665,Stayed Democrat
2020-03-07,#11A3D6,0.0475,To Democrat
2020-03-07,#970D03,0.10190476190476191,Stayed Republican
2020-03-08,#030D97,0.08217391304347824,Stayed Democrat
2020-03-08,#11A3D6,0.046,To Democrat
2020-03-08,#970D03,0.09642857142857143,Stayed Republican
2020-03-09,#030D97,0.11256410256410253,Stayed Democrat
2020-03-09,#11A3D6,0.043333333333333335,To Democrat
2020-03-09,#970D03,0.09114285714285712,Stayed Republican
2020-03-10,#030D97,0.13365591397849455,Stayed Democrat
2020-03-10,#11A3D6,0.04625,To Democrat
2020-03-10,#970D03,0.13531914893617022,Stayed Republican
2020-03-11,#030D97,0.2207142857142858,Stayed Democrat
2020-03-11,#11A3D6,0.05333333333333334,To Democrat
2020-03-11,#556B2F,0.09,To other
2020-03-11,#970D03,0.16812499999999997,Stayed Republican
2020-03-12,#030D97,0.2437984496124032,Stayed Democrat
2020-03-12,#11A3D6,0.09466666666666669,To Democrat
2020-03-12,#556B2F,0.09,To other
2020-03-12,#970D03,0.21158536585365847,Stayed Republican
2020-03-13,#030D97,0.27187919463087273,Stayed Democrat
2020-03-13,#11A3D6,0.15812500000000002,To Democrat
2020-03-13,#556B2F,0.09,To other
2020-03-13,#970D03,0.20972222222222214,Stayed Republican
2020-03-14,#030D97,0.3077380952380954,Stayed Democrat
2020-03-14,#11A3D6,0.15789473684210528,To Democrat
2020-03-14,#556B2F,0.09,To other
2020-03-14,#970D03,0.2203846153846154,Stayed Republican
2020-03-14,#AB5A68,0.05,To Republican
2020-03-15,#030D97,0.34101604278074865,Stayed Democrat
2020-03-15,#11A3D6,0.1761904761904762,To Democrat
2020-03-15,#556B2F,0.17,To other
2020-03-15,#970D03,0.23149350649350647,Stayed Republican
2020-03-15,#AB5A68,0.09,To Republican
2020-03-16,#030D97,0.3974871794871793,Stayed Democrat
2020-03-16,#11A3D6,0.21291666666666664,To Democrat
2020-03-16,#556B2F,0.35,To other
2020-03-16,#970D03,0.24426136363636372,Stayed Republican
2020-03-16,#AB5A68,0.14,To Republican
2020-03-17,#030D97,0.4729326923076922,Stayed Democrat
2020-03-17,#11A3D6,0.26185185185185184,To Democrat
2020-03-17,#556B2F,0.52,To other
2020-03-17,#970D03,0.2566829268292683,Stayed Republican
2020-03-17,#AB5A68,0.12,To Republican
2020-03-18,#030D97,0.5442600896860986,Stayed Democrat
2020-03-18,#11A3D6,0.32838709677419353,To Democrat
2020-03-18,#556B2F,0.87,To other
2020-03-18,#970D03,0.280524193548387,Stayed Republican
2020-03-18,#AB5A68,0.23500000000000001,To Republican
2020-03-19,#030D97,0.7350423728813565,Stayed Democrat
2020-03-19,#11A3D6,0.34028571428571425,To Democrat
2020-03-19,#556B2F,0.96,To other
2020-03-19,#970D03,0.34525974025974016,Stayed Republican
2020-03-19,#AB5A68,0.29500000000000004,To Republican
2020-03-20,#030D97,0.9080232558139537,Stayed Democrat
2020-03-20,#11A3D6,0.40076923076923077,To Democrat
2020-03-20,#556B2F,0.96,To other
2020-03-20,#970D03,0.43282608695652197,Stayed Republican
2020-03-20,#AB5A68,0.45,To Republican
2020-03-21,#030D97,1.0871747211895917,Stayed Democrat
2020-03-21,#11A3D6,0.5285714285714286,To Democrat
2020-03-21,#556B2F,1.83,To other
2020-03-21,#970D03,0.5300244498777507,Stayed Republican
2020-03-21,#AB5A68,0.735,To Republican
2020-03-22,#030D97,1.322158273381295,Stayed Democrat
