date,geoid,cases_avg_per_100k,deaths_avg_per_100k
2021-02-13,USA,28.48,0.79
2021-02-14,USA,27.47,0.78
2021-02-15,USA,25.85,0.75
2021-02-16,USA,24.48,0.66
2021-02-17,USA,23.41,0.61
2021-02-18,USA,21.95,0.54
2021-02-19,USA,21.02,0.58
2021-02-20,USA,20.38,0.57
2021-02-21,USA,20.01,0.58
2021-02-22,USA,20.19,0.6
2021-02-23,USA,20.5,0.63
2021-02-24,USA,20.68,0.66
2021-02-25,USA,20.94,0.65
2021-02-26,USA,20.95,0.63
2021-02-27,USA,20.65,0.62
2021-02-28,USA,20.47,0.62
2021-03-01,USA,20.35,0.62
2021-03-02,USA,19.73,0.6
2021-03-03,USA,19.41,0.56
2021-03-04,USA,18.95,0.53
2021-03-05,USA,18.41,0.55
2021-03-06,USA,18.14,0.54
2021-03-07,USA,17.68,0.52
2021-03-08,USA,17.78,0.49
2021-03-09,USA,17.69,0.5
2021-03-10,USA,17.26,0.46
2021-03-11,USA,17.02,0.44
2021-03-12,USA,16.94,0.41
2021-03-13,USA,16.59,0.43
2021-03-14,USA,16.48,0.42
2021-03-15,USA,16.59,0.42
2021-03-16,USA,16.53,0.39
2021-03-17,USA,16.56,0.38
2021-03-18,USA,16.48,0.38
2021-03-19,USA,16.33,0.37
2021-03-20,USA,16.54,0.33
2021-03-21,USA,16.37,0.32
2021-03-22,USA,16.27,0.32
2021-03-23,USA,16.36,0.3
2021-03-24,USA,17.27,0.32
2021-03-25,USA,17.64,0.31
2021-03-26,USA,18.24,0.3
2021-03-27,USA,18.51,0.3
2021-03-28,USA,18.95,0.3
2021-03-29,USA,19.64,0.3
2021-03-30,USA,19.88,0.3
2021-03-31,USA,19.36,0.28
2021-04-01,USA,19.71,0.27
2021-04-02,USA,19.46,0.26
2021-04-03,USA,19.6,0.26
2021-04-04,USA,19.27,0.25
2021-04-05,USA,19.53,0.24
2021-04-06,USA,19.51,0.24
2021-04-07,USA,19.74,0.22
2021-04-08,USA,19.88,0.22
2021-04-09,USA,20.44,0.22
2021-04-10,USA,20.46,0.22
2021-04-11,USA,20.94,0.22
2021-04-12,USA,20.74,0.22
2021-04-13,USA,21.4,0.22
2021-04-14,USA,21.52,0.23
2021-04-15,USA,21.23,0.23
2021-04-16,USA,21.09,0.23
2021-04-17,USA,20.62,0.22
2021-04-18,USA,20.34,0.23
2021-04-19,USA,20.26,0.23
2021-04-20,USA,19.56,0.22
2021-04-21,USA,18.99,0.22
2021-04-22,USA,18.67,0.22
2021-04-23,USA,18.04,0.21
2021-04-24,USA,17.9,0.22
2021-04-25,USA,17.56,0.21
2021-04-26,USA,16.57,0.21
2021-04-27,USA,16.18,0.21
2021-04-28,USA,15.85,0.21
2021-04-29,USA,15.48,0.21
2021-04-30,USA,15.25,0.21
2021-05-01,USA,15.0,0.21
2021-05-02,USA,14.83,0.21
2021-05-03,USA,14.95,0.21
2021-05-04,USA,14.47,0.22
2021-05-05,USA,14.04,0.21
2021-05-06,USA,13.61,0.21
2021-05-07,USA,13.14,0.21
2021-05-08,USA,12.66,0.2
2021-05-09,USA,12.35,0.2
2021-05-10,USA,11.77,0.2
2021-05-11,USA,11.47,0.19
2021-05-12,USA,11.08,0.19
2021-05-13,USA,10.68,0.19
2021-05-14,USA,10.4,0.18
2021-05-15,USA,10.2,0.18
2021-05-16,USA,9.96,0.18
2021-05-17,USA,9.64,0.18
2021-05-18,USA,9.37,0.19
2021-05-19,USA,9.09,0.18
2021-05-20,USA,8.71,0.18
2021-05-21,USA,8.19,0.18
2021-05-22,USA,7.73,0.17
2021-05-23,USA,7.62,0.17
2021-05-24,USA,7.46,0.17
2021-05-25,USA,7.25,0.16
2021-05-26,USA,7.02,0.16
2021-05-27,USA,6.93,0.15
2021-05-28,USA,6.63,0.15
2021-05-29,USA,6.34,0.14
2021-05-30,USA,6.05,0.14
2021-05-31,USA,5.19,0.13
2021-06-01,USA,5.18,0.11
2021-06-02,USA,4.9,0.12
2021-06-03,USA,4.54,0.13
2021-06-04,USA,4.19,0.11
2021-06-05,USA,4.13,0.11
2021-06-06,USA,4.07,0.11
2021-06-07,USA,4.77,0.12
2021-06-08,USA,4.35,0.12
2021-06-09,USA,4.54,0.11
2021-06-10,USA,4.35,0.11
2021-06-11,USA,4.46,0.12
2021-06-12,USA,4.36,0.12
2021-06-13,USA,4.39,0.11
2021-06-14,USA,4.2,0.1
2021-06-15,USA,4.11,0.11
2021-06-16,USA,3.84,0.1
2021-06-17,USA,3.68,0.09
2021-06-18,USA,3.5,0.09
2021-06-19,USA,3.47,0.09
2021-06-20,USA,3.36,0.09
2021-06-21,USA,3.39,0.09
2021-06-22,USA,3.42,0.09
2021-06-23,USA,3.41,0.09
2021-06-24,USA,3.52,0.09
2021-06-25,USA,3.61,0.09
2021-06-26,USA,3.58,0.09
2021-06-27,USA,3.58,0.09
2021-06-28,USA,3.57,0.09
2021-06-29,USA,3.7,0.08
2021-06-30,USA,3.78,0.08
2021-07-01,USA,3.67,0.08
2021-07-02,USA,3.95,0.07
2021-07-03,USA,3.81,0.06
2021-07-04,USA,3.75,0.06
2021-07-05,USA,3.2,0.06
2021-07-06,USA,3.77,0.05
2021-07-07,USA,4.48,0.05
2021-07-08,USA,4.48,0.06
2021-07-09,USA,5.23,0.07
2021-07-10,USA,5.42,0.07
2021-07-11,USA,5.55,0.07
2021-07-12,USA,7.1,0.08
2021-07-13,USA,7.9,0.08
2021-07-14,USA,8.29,0.09
2021-07-15,USA,8.66,0.08
2021-07-16,USA,9.38,0.08
2021-07-17,USA,9.59,0.08
2021-07-18,USA,9.74,0.08
2021-07-19,USA,10.76,0.08
2021-07-20,USA,11.58,0.07
2021-07-21,USA,12.52,0.08
