,date,mmwr_week,location,distributed,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_unk_manuf,dist_per_100k,distributed_per_100k_12plus,distributed_per_100k_18plus,distributed_per_100k_65plus,administered,administered_12plus,administered_18plus,administered_65plus,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,administered_fed_ltc,administered_fed_ltc_residents,administered_fed_ltc_staff,administered_fed_ltc_unk,administered_fed_ltc_dose1,administered_fed_ltc_dose1_1,administered_fed_ltc_dose1_2,administered_fed_ltc_dose1_3,admin_per_100k,admin_per_100k_12plus,admin_per_100k_18plus,admin_per_100k_65plus,recip_administered,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_1,administered_dose1_recip_2,administered_dose1_recip_3,administered_dose1_recip_4,administered_dose1_recip_5,administered_dose1_recip_6,series_complete_yes,series_complete_pop_pct,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,series_complete_janssen,series_complete_moderna,series_complete_pfizer,series_complete_unk_manuf,series_complete_janssen_12plus,series_complete_moderna_12plus,series_complete_pfizer_12plus,series_complete_unk_manuf_1,series_complete_janssen_18plus,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_unk_manuf_2,series_complete_janssen_65plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_unk_manuf_3,series_complete_fedltc,series_complete_fedltc_1,series_complete_fedltc_staff,series_complete_fedltc_unknown
12903,2021-07-01T00:00:00.000,26,SC,5294285,313300,2292520,2688465,0,102827,119781,131127,565011,4198578,4190970,4060011,1489922,148263,1699823,2349406,1086,107026,55903,33505,17618,62915,31229,19319,12367,81546,94819,100557,159006,4180812,2284426,44.4,2279651,51.6,2203546,54.6,794053,84.7,1996786,38.8,1994024,45.1,1937952,48,713303,76.1,145537,763349,1087679,221,145496,763266,1085041,221,145002,761587,1031142,221,24565,304345,384242,151,43838,24139,13927,5772
12904,2021-07-01T00:00:00.000,26,OK,4012850,222300,1759820,2030730,0,101412,120679,133551,631814,3274030,3273849,3163128,1003907,96650,1458830,1718478,72,65066,31211,16119,17736,39127,17980,10836,10311,82741,98455,105272,158063,3221206,1777242,44.9,1777084,53.4,1712678,57,534327,84.1,1522466,38.5,1522420,45.8,1477530,49.2,475131,74.8,95189,655306,771934,37,95180,655291,771912,37,95133,655115,727248,34,16395,244281,214443,12,25573,13007,5121,7445
12905,2021-07-01T00:00:00.000,26,RI,1512025,61600,614460,835965,0,142730,163023,176873,808371,1278902,1278812,1211517,343666,46877,506125,725808,92,51870,26617,16496,8757,30256,14412,9264,6580,120724,137879,141720,183733,1267424,685515,64.7,685400,73.9,648985,75.9,178453,95.4,625477,59,625446,67.4,595589,69.7,168953,90.3,46809,239011,339638,19,46808,239007,339612,19,46792,238962,309817,18,5781,77413,85753,6,21365,12096,7109,2160
12906,2021-07-01T00:00:00.000,26,NH,1828390,116700,741760,969930,0,134469,152548,165546,720224,1532741,1532152,1452799,427274,56882,646118,829720,21,47831,22132,19454,6245,25872,11305,10404,4163,112725,127832,131540,168308,1568228,849998,62.5,849579,70.9,807316,73.1,237267,93.5,762403,56.1,762214,63.6,728224,65.9,216485,85.3,58103,313658,390615,27,58094,313559,390534,27,58069,313418,356710,27,13133,94257,109078,17,21801,10712,8954,2135
12907,2021-07-01T00:00:00.000,26,US,382283990,21434300,157850400,202999290,0,115147,134823,148023,698918,328152304,327812939,312381286,90446727,12470439,134076668,181347436,257761,7891385,3675717,2706016,1509652,4654627,2062940,1557071,1034616,98842,115612,120956,165361,328152304,181339416,54.6,181121140,63.9,172295929,66.7,48223331,88.2,155884601,47,155760768,54.9,149112608,57.7,42846087,78.3,12312842,61042278,82458993,70488,12310285,61038727,82341303,70453,12238770,60726540,76077487,69811,2003745,20488813,20322754,30775,3194111,1583259,1128119,482733
12908,2021-07-01T00:00:00.000,26,MD,8458860,439400,3334780,4684680,0,139916,163840,179556,881686,6891344,6891008,6478723,1656060,264518,2675948,3944038,6840,194830,94027,74517,26286,115411,52374,43286,19751,113988,133472,137524,172615,6930820,3750240,62,3749833,72.6,3523007,74.8,881981,91.9,3394301,56.1,3394162,65.7,3211112,68.2,829248,86.4,256846,1265780,1869704,1971,256819,1265749,1869623,1971,256716,1265496,1686976,1924,49307,396419,382911,611,78286,41076,30512,6698
12909,2021-07-01T00:00:00.000,26,ID,1670670,100100,708280,862290,0,93487,111720,124783,574765,1325701,1325676,1325209,454234,50863,570180,703747,911,26931,8500,4899,13532,15689,4737,2894,8058,74183,88650,98980,156271,1329942,707755,39.6,707724,47.3,706724,52.8,234407,80.6,645372,36.1,645354,43.2,644815,48.2,221804,76.3,50704,264481,329901,286,50695,264478,329895,286,50686,264466,329378,285,9233,103234,109212,125,11059,3653,1951,5455
12910,2021-07-01T00:00:00.000,26,AR,2837810,178900,1277140,1381770,0,94036,110971,122443,541689,2240617,2235914,2162463,741005,76949,1042177,1120864,627,29199,8045,3963,17191,17616,4232,2135,11249,74247,87434,93304,141445,2247137,1268867,42,1265414,49.5,1221531,52.7,405830,77.5,1033763,34.3,1032455,40.4,1002543,43.3,343716,65.6,75139,471657,486808,159,75029,471653,485615,158,74707,470705,456983,148,11785,198896,132942,93,11569,3746,1815,6008
12911,2021-07-01T00:00:00.000,26,MP,72330,2600,20200,49530,0,127158,148901,163258,750467,55616,55616,51547,5277,417,7844,47355,0,1,0,0,1,1,0,0,1,97774,114493,116348,54752,55663,29529,51.9,29529,60.8,27050,61.1,2727,28.3,26530,46.6,26530,54.6,24937,56.3,2616,27.1,423,3746,22361,0,423,3746,22361,0,423,3746,20768,0,65,430,2121,0,0,0,0,0
12912,2021-07-01T00:00:00.000,26,WA,9398075,495000,3803240,5099835,0,123417,144565,157902,776878,8589053,8588263,8120732,2109102,350126,3433156,4800491,5280,164919,71644,53343,39932,99829,42060,32395,25374,112793,132108,136441,174346,8583339,4674964,61.4,4674236,71.9,4414510,74.2,1101646,91.1,4163605,54.7,4163413,64,3960419,66.5,1034600,85.5,347259,1607804,2206931,1611,347241,1607757,2206804,1611,347058,1607245,2004525,1591,52376,474055,507217,952,64203,28984,20529,14690
