COVID-19 Vaccinations in the United States
Date generated: Sat Jun 26 2021 18:43:51 GMT-0700 (Pacific Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,829405,113377,150374,649109,88731,615245,111546,353979,48.4,334238,60.6,310204,42.4,295890,53.6,413985,356120,59300,0,24398,276550,347998,163,128435,159089,22643,37,128089,145231,22536,34,287561,48.4,334238,60.6,39.3,273354,49.6,353979,74207,81,69819,76.2,39558,27918,2325,18,139919,152770,905583,352917,58,309606,50.8,128433,158495,22641,37,647456,106336,136219
Alabama,4801760,97931,125869,3317156,67653,3246739,85107,1933773,39.4,1887825,49.5,1578780,32.2,1553006,40.7,2330640,2189820,281300,0,110365,1551327,1655460,4,711267,754528,112866,119,711028,729047,112812,119,1465914,39.4,1887825,49.5,29.9,1440194,37.8,1933773,666682,78.4,575654,67.7,305895,239311,30370,78,1189226,139936,565021,1933456,46.2,1578747,37.7,711258,754510,112860,119,3316843,79220,114686
Arkansas,2836810,94002,122400,2211512,73282,2138028,92250,1253921,41.6,1208808,52.2,1018876,33.8,990125,42.7,1381770,1276140,178900,0,75554,1032536,1102806,616,466414,478561,73743,158,465496,451147,73335,147,945133,41.6,1208808,52.2,31.3,916790,39.6,1253921,404219,77.2,342184,65.3,198183,132305,11603,93,737895,140851,541498,1250638,48.9,1017722,39.8,466410,477522,73633,157,2207139,86309,110932
American Samoa,54030,97021,124565,46103,82787,43608,100537,25507,45.8,23844,55,20990,37.7,20161,46.5,37830,15600,600,0,272,11464,34367,0,5180,15531,279,0,5167,14715,279,0,20711,45.8,23844,55,37.2,19882,45.8,25507,2623,27.8,2378,25.2,960,1402,16,0,4908,52014,572594,25503,53.6,20989,44.1,5179,15531,279,0,46098,96932,113611
Arizona,8094410,111207,143557,6427731,88309,6144685,108978,3581918,49.2,3414971,60.6,2884799,39.6,2775770,49.2,4302870,3360540,431000,0,214948,2758828,3447996,5959,1187250,1488374,207251,1924,1186889,1379862,207109,1910,2677548,49.2,3414971,60.6,36.8,2568661,45.6,3581918,1094648,83.6,927847,70.9,458726,430435,37555,1131,2069830,158167,618539,3581456,57.7,2884682,46.5,1187235,1488317,207206,1924,6427210,103563,130428
Bureau of Prisons,201890,N/A,N/A,194067,N/A,194066,N/A,105410,N/A,105409,N/A,95899,N/A,95899,N/A,106470,84820,10600,0,8300,79930,105837,0,37711,49934,8254,0,37711,49934,8254,0,87645,N/A,105409,N/A,0,87645,0,105410,3325,0,3086,0,1506,1473,107,0,6342,0,0,105409,0,95899,0,37711,49934,8254,0,194066,0,0
California,49026105,124078,160124,42103167,106557,39707960,129690,24017119,60.8,22626264,73.9,19361443,49,18351993,59.9,26395785,20014520,2615800,0,1530278,17201514,23364748,6627,7588235,10254033,1517220,1955,7564589,9275113,1510423,1868,17844223,60.8,22626264,73.9,45.2,16841570,55,24017119,5415163,92.8,4359879,74.7,2236484,1968476,154183,736,9710352,166327,839759,23945811,71.2,19320131,57.4,7587835,10213418,1516924,1954,41990397,124800,145710
Colorado,7018595,121877,155996,6127943,106411,5778788,128440,3315973,57.6,3118326,69.3,2942303,51.1,2790910,62,3798795,2879500,340300,0,217688,2567075,3340090,3090,1194075,1532877,214391,960,1190664,1385936,213364,946,2727912,57.6,3118326,69.3,47.4,2577546,57.3,3315973,734814,87.2,666826,79.2,330722,316114,19687,303,1409753,167347,833155,3305066,67,2935339,59.5,1194063,1525945,214371,960,6109972,123782,142190
Connecticut,4712475,132177,166058,4359942,122289,4102472,144563,2373795,66.6,2231725,78.6,2128684,59.7,2017925,71.1,2551575,1910900,250000,0,171581,1690282,2497571,508,797198,1160022,171309,155,796843,1049787,171169,126,1957375,66.6,2231725,78.6,54.9,1846756,65.1,2373795,597809,94.9,558578,88.6,220906,320029,17610,33,1152931,182934,747722,2372566,76.4,2128246,68.5,796995,1159860,171236,155,4358342,140322,151724
District of Columbia,1061435,150398,183772,855653,121240,835685,144687,428669,60.7,415053,71.9,363412,51.5,355377,61.5,584415,422620,54400,0,27485,337344,490468,356,138143,194293,30795,181,138101,186322,30777,177,332617,60.7,415053,71.9,47.1,324600,56.2,428669,74104,84.8,65834,75.4,37129,26520,2163,22,168571,192999,1215250,428585,70.3,363374,59.6,138138,194262,30793,181,855578,140315,174076
